identifier	question
chapter-007	And what should we more say,"why that substance which God is should not be corruptible,"seeing if it were so, it should not be God?
chapter-007	But again I said, Who made me?
chapter-007	Did not my God, Who is not only good, but goodness itself?
chapter-007	Did the whole tumult of my soul, for which neither time nor utterance sufficed, reach them?
chapter-007	For where was that charity building upon the foundation of humility, which is Christ Jesus?
chapter-007	For, what was that which was thence through my tongue distilled into the ears of my most familiar friends?
chapter-007	Had He no might to turn and change the whole, so that no evil should remain in it, seeing He is All- mighty?
chapter-007	If the devil were the author, whence is that same devil?
chapter-007	Lastly, why would He make any thing at all of it, and not rather by the same All- mightiness cause it not to be at all?
chapter-007	No man sings there, Shall not my soul be submitted unto God?
chapter-007	Or hath it no being?
chapter-007	Or if it were from eternity, why suffered He it so to be for infinite spaces of times past, and was pleased so long after to make something out of it?
chapter-007	Or, could it then be against His will?
chapter-007	Or, was there some evil matter of which He made, and formed, and ordered it, yet left something in it which He did not convert into good?
chapter-007	These things being safe and immovably settled in my mind, I sought anxiously"whence was evil?"
chapter-007	What is its root, and what its seed?
chapter-007	What shall wretched man do?
chapter-007	Whence is evil?
chapter-007	Whence is it then?
chapter-007	Whence then came I to will evil and nill good, so that I am thus justly punished?
chapter-007	Where is evil then, and whence, and how crept it in hither?
chapter-007	Why so then?
chapter-007	Why that?
chapter-007	Why then fear we and avoid what is not?
chapter-007	or when should these books teach me it?
chapter-007	who set this in me, and ingrafted into me this plant of bitterness, seeing I was wholly formed by my most sweet God?
chapter-009	And the prophet cries out, How long, slow of heart?
chapter-009	And what is like unto Thy Word, our Lord, who endureth in Himself without becoming old, and maketh all things new?
chapter-009	And when shall I have time to rehearse all Thy great benefits towards us at that time, especially when hasting on to yet greater mercies?
chapter-009	And when shall that be?
chapter-009	And who but Thou could be the workmaster of such wonders?
chapter-009	But hast not Thou, O most merciful Lord, pardoned and remitted this sin also, with my other most horrible and deadly sins, in the holy water?
chapter-009	But what pain?
chapter-009	But whosoever reckons up his real merits to Thee, what reckons he up to Thee but Thine own gifts?
chapter-009	But yet, O my God, Who madest us, what comparison is there betwixt that honour that I paid to her, and her slavery for me?
chapter-009	For what other place is there for such a soul?
chapter-009	He cries out, How long?
chapter-009	Let my heart and my tongue praise Thee; yea, let all my bones say, O Lord, who is like unto Thee?
chapter-009	My God hath done this for me more abundantly, that I should now see thee withal, despising earthly happiness, become His servant: what do I here?"
chapter-009	Oh that they were wearied out with their famine, and said, Who will show us good things?
chapter-009	What evil have not been either my deeds, or if not my deeds, my words, or if not my words, my will?
chapter-009	When shall I recall all which passed in those holy- days?
chapter-009	When we shall all rise again, though we shall not all be changed?
chapter-009	Whence and whither hast Thou thus led my remembrance, that I should confess these things also unto Thee?
chapter-009	Where was then that discreet old woman, and that her earnest countermanding?
chapter-009	Who am I, and what am I?
chapter-009	Who repay Him the price wherewith He bought us, and so take us from Him?
chapter-009	Who shall restore to Him the innocent blood?
chapter-009	Would aught avail against a secret disease, if Thy healing hand, O Lord, watched not over us?
chapter-009	how didst Thou cure her?
chapter-009	how heal her?
chapter-009	or how went it away?
chapter-009	why do ye love vanity, and seek after leasing?
chapter-009	why do ye love vanity, and seek after leasing?
chapter-002	A man hath murdered another; why?
chapter-002	Ambition, what seeks it, but honours and glory?
chapter-002	And to what end?
chapter-002	And to what purpose?
chapter-002	And what was it that I delighted in, but to love, and be loved?
chapter-002	And whose but Thine were these words which by my mother, Thy faithful one, Thou sangest in my ears?
chapter-002	Anger seeks revenge: who revenges more justly than Thou?
chapter-002	Because none doth ordinarily laugh alone?
chapter-002	But art thou any thing, that thus I speak to thee?
chapter-002	But yet what was it?
chapter-002	Didst Thou then indeed hold Thy peace to me?
chapter-002	Envy disputes for excellency: what more excellent than Thou?
chapter-002	For what is nearer to Thine ears than a confessing heart, and a life of faith?
chapter-002	For what mortal can?
chapter-002	For what thief will abide a thief?
chapter-002	I loved then in it also the company of the accomplices, with whom I did it?
chapter-002	Or where but with Thee is unshaken safety?
chapter-002	The cruelty of the great would fain be feared; but who is to be feared but God alone, out of whose power what can be wrested or withdrawn?
chapter-002	To Thy grace I ascribe also whatsoever I have not done of evil; for what might I not have done, who even loved a sin for its own sake?
chapter-002	To whom tell I this?
chapter-002	What is it which hath come into my mind to enquire, and discuss, and consider?
chapter-002	What is worthy of dispraise but vice?
chapter-002	What is, in truth?
chapter-002	What shall I render unto the Lord, that, whilst my memory recalls these things, my soul is not affrighted at them?
chapter-002	What then did I love in that theft?
chapter-002	What then did wretched I so love in thee, thou theft of mine, thou deed of darkness, in that sixteenth year of my age?
chapter-002	What then was this feeling?
chapter-002	Who can disentangle that twisted and intricate knottiness?
chapter-002	Who can understand his errors?
chapter-002	Why then was my delight of such sort that I did it not alone?
chapter-002	Would any commit murder upon no cause, delighted simply in murdering?
chapter-002	Yea, sloth would fain be at rest; but what stable rest besides the Lord?
chapter-002	and dare I say that Thou heldest Thy peace, O my God, while I wandered further from Thee?
chapter-002	and wherein did I even corruptly and pervertedly imitate my Lord?
chapter-002	could I like what I might not, only because I might not?
chapter-002	in those things, of the remembrance whereof I am now ashamed?
chapter-002	when, or where, or whither, or by whom?
chapter-002	who can teach me, save He that enlighteneth my heart, and discovereth its dark corners?
chapter-002	who would believe it?
chapter-004	And doth not a soul, sighing after such fictions, commit fornication against Thee, trust in things unreal, and feed the wind?
chapter-004	And who is He but our God?
chapter-004	And who is this but our God, the God that made heaven and earth, and filleth them, because by filling them He created them?
chapter-004	And who leaveth Thee, whither goeth or whither fleeth he, but from Thee well- pleased, to Thee displeased?
chapter-004	But I would not be asked,"Why then doth God err?"
chapter-004	But didst Thou fail me even by that old man, or forbear to heal my soul?
chapter-004	But do I depart any whither?
chapter-004	But in these things is no place of repose; they abide not, they flee; and who can follow them with the senses of the flesh?
chapter-004	But is it also in grief for a thing lost, and the sorrow wherewith I was then overwhelmed?
chapter-004	But what did this further me, imagining that Thou, O Lord God, the Truth, wert a vast and bright body, and I a fragment of that body?
chapter-004	But what prouder, than for me with a strange madness to maintain myself to be that by nature which Thou art?
chapter-004	But what sort of man is any man, seeing he is but a man?
chapter-004	But what speak I of these things?
chapter-004	But whither ascend ye, when ye are on high, and set your mouth against the heavens?
chapter-004	Do I then love in a man, what I hate to be, who am a man?
chapter-004	Doth this sweeten it, that we hope Thou hearest?
chapter-004	Even now, after the descent of Life to you, will ye not ascend and live?
chapter-004	For how should there be a blessed life where life itself is not?
chapter-004	For what am I to myself without Thee, but a guide to mine own downfall?
chapter-004	For what else is it to feed the wind, but to feed them, that is by going astray to become their pleasure and derision?
chapter-004	For what profited me good abilities, not employed to good uses?
chapter-004	For where doth he not find Thy law in his own punishment?
chapter-004	For whither should my heart flee from my heart?
chapter-004	Hast Thou, although present every where, cast away our misery far from Thee?
chapter-004	May I learn from Thee, who art Truth, and approach the ear of my heart unto Thy mouth, that Thou mayest tell me why weeping is sweet to the miserable?
chapter-004	O ye sons of men, how long so slow of heart?
chapter-004	One is commended, and, unseen, he is loved: doth this love enter the heart of the hearer from the mouth of the commender?
chapter-004	Or is weeping indeed a bitter thing, and for very loathing of the things which we before enjoyed, does it then, when we shrink from them, please us?
chapter-004	To what end then would ye still and still walk these difficult and toilsome ways?
chapter-004	What did all this further me, seeing it even hindered me?
chapter-004	What diddest Thou then, my God, and how unsearchable is the abyss of Thy judgments?
chapter-004	What is it that attracts and wins us to the things we love?
chapter-004	What then is the beautiful?
chapter-004	Whence then is sweet fruit gathered from the bitterness of life, from groaning, tears, sighs, and complaints?
chapter-004	Where now are the impulses to such various and divers kinds of loves laid up in one soul?
chapter-004	Whither go ye in rough ways?
chapter-004	Whither go ye?
chapter-004	Whither not follow myself?
chapter-004	Whither should I flee from myself?
chapter-004	Who can recount all Thy praises, which he hath felt in his one self?
chapter-004	Why then be perverted and follow thy flesh?
chapter-004	Why, since we are equally men, do I love in another what, if I did not hate, I should not spurn and cast from myself?
chapter-004	and what is beauty?
chapter-004	or what am I even at the best, but an infant sucking the milk Thou givest, and feeding upon Thee, the food that perisheth not?
chapter-004	yea, who can grasp them, when they are hard by?
chapter-008	"What ails us?"
chapter-008	"Where art thou now, my tongue?
chapter-008	And she smiled on me with a persuasive mockery, as would she say,"Canst not thou what these youths, what these maidens can?
chapter-008	And what was it which they suggested in that I said,"this or that,"what did they suggest, O my God?
chapter-008	And who has any right to speak against it, if just punishment follow the sinner?
chapter-008	And who there knew him not?
chapter-008	And, not indeed in these words, yet to this purpose, spake I much unto Thee: and Thou, O Lord, how long?
chapter-008	Are we ashamed to follow, because others are gone before, and not ashamed not even to follow?"
chapter-008	Can our hopes in court rise higher than to be the Emperor''s favourites?
chapter-008	Do not divers wills distract the mind, while he deliberates which he should rather choose?
chapter-008	For I ask them, is it good to take pleasure in reading the Apostle?
chapter-008	For his presence did not lessen my privacy; or how could he forsake me so disturbed?
chapter-008	For whence else is this hesitation between conflicting wills?
chapter-008	I exclaim:"what is it?
chapter-008	I sent up these sorrowful words: How long, how long,"to- morrow, and tomorrow?"
chapter-008	Is this their allotted measure?
chapter-008	Let my bones be bedewed with Thy love, and let them say unto Thee, Who is like unto Thee, O Lord?
chapter-008	The other, in banter, replied,"Do walls then make Christians?"
chapter-008	What means this, O Lord my God, whereas Thou art everlastingly joy to Thyself, and some things around Thee evermore rejoice in Thee?
chapter-008	What means this, that this portion of things thus ebbs and flows alternately displeased and reconciled?
chapter-008	What said I not against myself?
chapter-008	What then if all give equal pleasure, and all at once?
chapter-008	What then if one of us should deliberate, and amid the strife of his two wills be in a strait, whether he should go to the theatre or to our church?
chapter-008	What then takes place in the soul, when it is more delighted at finding or recovering the things it loves, than if it had ever had them?
chapter-008	Whence is this monstrousness?
chapter-008	Whence is this monstrousness?
chapter-008	Whence this monstrousness?
chapter-008	Who then should deliver me thus wretched from the body of this death, but Thy grace only, through Jesus Christ our Lord?
chapter-008	Why not now?
chapter-008	Why standest thou in thyself, and so standest not?
chapter-008	and by how many perils arrive we at a greater peril?
chapter-008	and from that moment shall not this or that be lawful for thee for ever?"
chapter-008	and from that moment shall we no more be with thee for ever?
chapter-008	and in this, what is there not brittle, and full of perils?
chapter-008	and to what end?
chapter-008	and to what end?
chapter-008	and to what end?
chapter-008	and when arrive we thither?
chapter-008	how long, Lord, wilt Thou be angry for ever?
chapter-008	or can they either in themselves, and not rather in the Lord their God?
chapter-008	or good to discourse on the Gospel?
chapter-008	or good to take pleasure in a sober Psalm?
chapter-008	what aim we at?
chapter-008	what heardest thou?
chapter-008	what serve we for?
chapter-008	why not is there this hour an end to my uncleanness?
chapter-008	would not these Manichees also be in a strait what to answer?
chapter-013	"that it was idly said, and without meaning?"
chapter-013	( for to such creatures, is this food due;) what is it that feeds thee?
chapter-013	And I am admonished,"Truly the things of God knoweth no one, but the Spirit of God: how then do we also know, what things are given us of God?"
chapter-013	And I said,"Lord, is not this Thy Scripture true, since Thou art true, and being Truth, hast set it forth?
chapter-013	And what have we, that we have not received of Thee?
chapter-013	And what man can teach man to understand this?
chapter-013	As if He had been in place, Who is not in place, of Whom only it is written, that He is Thy gift?
chapter-013	Behold, I too say, O my God, Where art Thou?
chapter-013	But how know we this?
chapter-013	But was not either the Father, or the Son, borne above the waters?
chapter-013	But what is this, and what kind of mystery?
chapter-013	But wherefore was it not meet that the knowledge of Him should be conveyed otherwise, than as being borne above?
chapter-013	For what did heaven and earth, which Thou madest in the Beginning, deserve of Thee?
chapter-013	For what man knoweth the things of a man, save the spirit of a man, which is in him?
chapter-013	For who discerneth us, but Thou?
chapter-013	How did corporeal matter deserve of Thee, to be even invisible and without form?
chapter-013	How did they deserve of Thee, to be even without form, since they had not been even this, but from Thee?
chapter-013	Or who, except Thou, our God, made for us that firmament of authority over us in Thy Divine Scripture?
chapter-013	Rejoiceth he for that?
chapter-013	To whom shall I speak this?
chapter-013	Unto it speaks my faith which Thou hast kindled to enlighten my feet in the night, Why art thou sad, O my soul, and why dost thou trouble me?
chapter-013	Was it for his own necessities, because he said, Ye sent unto my necessity?
chapter-013	What can be more, and yet what less like?
chapter-013	What then shall I say, O Truth my Light?
chapter-013	Whence then so many thorns, if the earth be fruitful?
chapter-013	Whereat then rejoicest thou, O great Paul?
chapter-013	Which of us comprehendeth the Almighty Trinity?
chapter-013	Who gathered the embittered together into one society?
chapter-013	Who, Lord, but Thou, saidst, Let the waters be gathered together into one place, and let the dry land appear, which thirsteth after Thee?
chapter-013	Why should he trouble me, as if I could enlighten any man that cometh into this world?
chapter-013	Why then is this said of Thy Spirit only, why is it said only of Him?
chapter-013	and yet which speaks not of It, if indeed it be It?
chapter-013	how speak it?
chapter-013	how speak of the weight of evil desires, downwards to the steep abyss; and how charity raises up again by Thy Spirit which was borne above the waters?
chapter-013	or what Angel, a man?
chapter-013	or what Angel, an Angel?
chapter-013	to whom shall I speak it?
chapter-013	whereat rejoicest thou?
chapter-013	who could any ways express it?
chapter-013	who would, any way, pronounce thereon rashly?
chapter-012	"No,"they say;"What then?
chapter-012	"What then?
chapter-012	"What then?"
chapter-012	"What will ye say then, O ye gainsayers?
chapter-012	"What?"
chapter-012	And this changeableness, what is it?
chapter-012	And what is it to have silence there, but to have no sound there?
chapter-012	And what, among all parts of the world can be found nearer to an absolute formlessness, than earth and deep?
chapter-012	Are these things false?"
chapter-012	But whence had it this degree of being, but from Thee, from Whom are all things, so far forth as they are?
chapter-012	For had there been light, where should it have been but by being over all, aloft, and enlightening?
chapter-012	For if they be comprised in this word earth; how then can formless matter be meant in that name of earth, when we see the waters so beautiful?
chapter-012	Hast not Thou, O Lord, taught his soul, which confesseth unto Thee?
chapter-012	How then should it be called, that it might be in some measure conveyed to those of duller mind, but by some ordinary word?
chapter-012	I should have desired verily, had I then been Moses( for we all come from the same lump, and what is man, saving that Thou art mindful of him?
chapter-012	If God be for us, who can be against us?
chapter-012	Is it body?
chapter-012	Is it false, that every nature already formed, or matter capable of form, is not, but from Him Who is supremely good, because He is supremely?"
chapter-012	Is it soul?
chapter-012	Is it that the matter was without form, in which because there was no form, there was no order?
chapter-012	Is it that which constituteth soul or body?
chapter-012	The heaven of heavens are the Lord''s; but the earth hath He given to the children of men?
chapter-012	Therefore didst Thou command it to be written, that darkness was upon the face of the deep; what else than the absence of light?
chapter-012	These be Thine own promises: and who need fear to be deceived, when the Truth promiseth?
chapter-012	We hold the promise, who shall make it null?
chapter-012	What strength of ours, yea what ages would suffice for all Thy books in this manner?
chapter-012	Where is that heaven which we see not, to which all this which we see is earth?
chapter-012	Where then light was not, what was the presence of darkness, but the absence of light?
chapter-012	and what Thy days, but Thy eternity, as Thy years which fail not, because Thou art ever the same?
chapter-012	if she now seeks of Thee one thing, and desireth it, that she may dwell in Thy house all the days of her life( and what is her life, but Thou?
chapter-001	And how shall I call upon my God, my God and Lord, since, when I call for Him, I shall be calling Him to myself?
chapter-001	And is this the innocence of boyhood?
chapter-001	And is, then one part of Thee greater, another less?
chapter-001	And then mark how he excites himself to lust as by celestial authority:"And what God?
chapter-001	And what could I so ill endure, or, when I detected it, upbraided I so fiercely, as that I was doing to others?
chapter-001	And what had I now said, my God, my life, my holy joy?
chapter-001	And whither, when the heaven and the earth are filled, pourest Thou forth the remainder of Thyself?
chapter-001	And yet whence was this too, but from the sin and vanity of this life, because I was flesh, and a breath that passeth away and cometh not again?
chapter-001	Before them what more foul than I was already, displeasing even such as myself?
chapter-001	But Thou who fillest all things, fillest Thou them with Thy whole self?
chapter-001	But who shall cleanse it?
chapter-001	But why did I so much hate the Greek, which I studied as a boy?
chapter-001	Did not I read in thee of Jove the thunderer and the adulterer?
chapter-001	Do the heaven and earth then contain Thee, since Thou fillest them?
chapter-001	Dost Thou mock me for asking this, and bid me praise Thee and acknowledge Thee, for that I do know?
chapter-001	For what would I say, O Lord my God, but that I know not whence I came into this dying life( shall I call it?)
chapter-001	For who is Lord but the Lord?
chapter-001	Grant me, Lord, to know and understand which is first, to call on Thee or to praise Thee?
chapter-001	Have I not confessed against myself my transgressions unto Thee, and Thou, my God, hast forgiven the iniquity of my heart?
chapter-001	I beseech Thee, my God, I would fain know, if so Thou willest, for what purpose my baptism was then deferred?
chapter-001	If not, why does it still echo in our ears on all sides,"Let him alone, let him do as he will, for he is not yet baptised?"
chapter-001	If, again, I should ask which might be forgotten with least detriment to the concerns of life, reading and writing or these poetic fictions?
chapter-001	In so small a creature, what was not wonderful, not admirable?
chapter-001	Is it then a slight woe to love Thee not?
chapter-001	Let him also rejoice and say, What thing is this?
chapter-001	Nor did that depart,--(for whither went it?)
chapter-001	Or was it then good, even for a while, to cry for what, if given, would hurt?
chapter-001	Or what am I to Thee that Thou demandest my love, and, if I give it not, art wroth with me, and threatenest me with grievous woes?
chapter-001	Or, is it rather, that we call on Thee that we may know Thee?
chapter-001	Say, Lord, to me, Thy suppliant; say, all- pitying, to me, Thy pitiable one; say, did my infancy succeed another age of mine that died before it?
chapter-001	Shall any be his own artificer?
chapter-001	Since, then, I too exist, why do I seek that Thou shouldest enter into me, who were not, wert Thou not in me?
chapter-001	Therefore I contend not in judgment with Thee; for if Thou, Lord, shouldest mark iniquities, O Lord, who shall abide it?
chapter-001	Thou receivest over and above, that Thou mayest owe; and who hath aught that is not Thine?
chapter-001	What art Thou then, my God?
chapter-001	What art Thou to me?
chapter-001	What is it to me, O my true life, my God, that my declamation was applauded above so many of my own age and class?
chapter-001	What is it to me, though any comprehend not this?
chapter-001	What then was my sin?
chapter-001	Whence could such a being be, save from Thee, Lord?
chapter-001	Whither do I call Thee, since I am in Thee?
chapter-001	Who knows not this?
chapter-001	Who remindeth me of the sins of my infancy?
chapter-001	Who remindeth me?
chapter-001	Who shall stand against thee?
chapter-001	Why then did I hate the Greek classics, which have the like tales?
chapter-001	Why?
chapter-001	Wilt Thou hold Thy peace for ever?
chapter-001	and all at once the same part?
chapter-001	and was there nothing else whereon to exercise my wit and tongue?
chapter-001	and what before that life again, O God my joy, was I any where or any body?
chapter-001	and what else did he who beat me?
chapter-001	and what room is there within me, whither my God can come into me?
chapter-001	and, again, to know Thee or to call on Thee?
chapter-001	bitterly to resent, that persons free, and its own elders, yea, the very authors of its birth, served it not?
chapter-001	but how shall they call on Him in whom they have not believed?
chapter-001	do then heaven and earth, which Thou hast made, and wherein Thou hast made me, contain Thee?
chapter-001	doth not each little infant, in whom I see what of myself I remember not?
chapter-001	for of that I have heard somewhat, and have myself seen women with child?
chapter-001	for who can call on Thee, not knowing Thee?
chapter-001	how long roll the sons of Eve into that huge and hideous ocean, which even they scarcely overpass who climb the cross?
chapter-001	how long shalt thou not be dried up?
chapter-001	is not all this smoke and wind?
chapter-001	is there, indeed, O Lord my God, aught in me that can contain Thee?
chapter-001	or can there elsewhere be derived any vein, which may stream essence and life into us, save from thee, O Lord, in whom essence and life are one?
chapter-001	or dost Thou fill them and yet overflow, since they do not contain Thee?
chapter-001	or each its own part, the greater more, the smaller less?
chapter-001	or hast Thou no need that aught contain Thee, who containest all things, since what Thou fillest Thou fillest by containing it?
chapter-001	or how shall they believe without a preacher?
chapter-001	or to whom should I cry, save Thee?
chapter-001	or was it not laid loose?
chapter-001	or what saith any man when he speaks of Thee?
chapter-001	or whence canst Thou enter into me?
chapter-001	or who is God save our God?
chapter-001	or, art Thou wholly every where, while nothing contains Thee wholly?
chapter-001	or, because nothing which exists could exist without Thee, doth therefore whatever exists contain Thee?
chapter-001	or, since all things can not contain Thee wholly, do they contain part of Thee?
chapter-001	that many besides, wiser than it, obeyed not the nod of its good pleasure?
chapter-001	that period I pass by; and what have I now to do with that, of which I can recall no vestige?
chapter-001	to do its best to strike and hurt, because commands were not obeyed, which had been obeyed to its hurt?
chapter-001	was it for my good that the rein was laid loose, as it were, upon me, for me to sin?
chapter-001	was it that I hung upon the breast and cried?
chapter-001	was it that which I spent within my mother''s womb?
chapter-001	what, but the Lord God?
chapter-001	whither can God come into me, God who made heaven and earth?
chapter-001	who does not foresee what all must answer who have not wholly forgotten themselves?
chapter-001	who, if worsted in some trifling discussion with his fellow- tutor, was more embittered and jealous than I when beaten at ball by a play- fellow?
chapter-011	And if any should ask me,"How knowest thou?"
chapter-011	And that very long one do I measure as present, seeing I measure it not till it be ended?
chapter-011	And whence should he be able to do this, unless Thou hadst made that mind?
chapter-011	And whence should they be, hadst not Thou appointed them?
chapter-011	And who denies past things to be now no longer?
chapter-011	And who denieth the present time hath no space, because it passeth away in a moment?
chapter-011	Are an hundred years, when present, a long time?
chapter-011	BOOK XI Lord, since eternity is Thine, art Thou ignorant of what I say to Thee?
chapter-011	But do I perceive it, or seem to perceive it?
chapter-011	But how didst Thou make the heaven and the earth?
chapter-011	But how didst Thou speak?
chapter-011	But how dost Thou make them?
chapter-011	But how is that future diminished or consumed, which as yet is not?
chapter-011	But if before heaven and earth there was no time, why is it demanded, what Thou then didst?
chapter-011	But if the will of God has been from eternity that the creature should be, why was not the creature also from eternity?"
chapter-011	But in what sense is that long or short, which is not?
chapter-011	But time present how do we measure, seeing it hath no space?
chapter-011	But we measure times as they are passing, by perceiving them; but past, which now are not, or the future, which are not yet, who can measure?
chapter-011	But what in discourse do we mention more familiarly and knowingly, than time?
chapter-011	But whence should I know, whether he spake truth?
chapter-011	But whence, by what way, and whither passes it while it is a measuring?
chapter-011	By what Word then didst Thou speak, that a body might be made, whereby these words again might be made?
chapter-011	By what way dost Thou, to whom nothing is to come, teach things to come; or rather of the future, dost teach things present?
chapter-011	Can my hand do this, or the hand of my mouth by speech bring about a thing so great?
chapter-011	Could it be measured the rather, for that?
chapter-011	Do I then measure, O my God, and know not what I measure?
chapter-011	Does not my soul most truly confess unto Thee, that I do measure times?
chapter-011	Dost Thou bid me assent, if any define time to be"motion of a body?"
chapter-011	For if He made, what did He make but a creature?
chapter-011	For if Thine ears be not with us in the depths also, whither shall we go?
chapter-011	For if( say they) He were unemployed and wrought not, why does He not also henceforth, and for ever, as He did heretofore?
chapter-011	For that past time which was long, was it long when it was now past, or when it was yet present?
chapter-011	For what is time?
chapter-011	For what is, but because Thou art?
chapter-011	For what, I beseech Thee, O my God, do I measure, when I say, either indefinitely"this is a longer time than that,"or definitely"this is double that"?
chapter-011	For when a body is moved, I by time measure, how long it moveth, from the time it began to move until it left off?
chapter-011	For whence could innumerable ages pass by, which Thou madest not, Thou the Author and Creator of all ages?
chapter-011	For whence shouldest Thou have this, which Thou hadst not made, thereof to make any thing?
chapter-011	For where did they, who foretold things to come, see them, if as yet they be not?
chapter-011	For why should not the motions of all bodies rather be times?
chapter-011	How may it then be measured?
chapter-011	How then know I this, seeing I know not what time is?
chapter-011	I measure the motion of a body in time; and the time itself do I not measure?
chapter-011	In the future, whence it passeth through?
chapter-011	In the way that the voice came out of the cloud, saying, This is my beloved Son?
chapter-011	In what space then do we measure time passing?
chapter-011	Is it to come?
chapter-011	Lo, are they not full of their old leaven, who say to us,"What was God doing before He made heaven and earth?
chapter-011	O my Lord, my Light, shall not here also Thy Truth mock at man?
chapter-011	Or in the present, by which it passes?
chapter-011	Or, should there in our words be some syllables short, others long, but because those sounded in a shorter time, these in a longer?
chapter-011	Or, while we were saying this, should we not also be speaking in time?
chapter-011	Or,"How came it into His mind to make any thing, having never before made any thing?"
chapter-011	See, I answer him that asketh,"What did God before He made heaven and earth?"
chapter-011	Seeing then Thou art the Creator of all times, if any time was before Thou madest heaven and earth, why say they that Thou didst forego working?
chapter-011	This same time then, how do I measure?
chapter-011	This then that He is said"never to have made"; what else is it to say, than"in''no time''to have made?"
chapter-011	Those two times then, past and to come, how are they, seeing the past now is not, and that to come is not yet?
chapter-011	Thou then, Ruler of Thy creation, by what way dost Thou teach souls things to come?
chapter-011	Times passing, not past?
