adjective	frequency
weakly	1
weakest	1
wayward	1
watery	1
vulgar	1
vouchsafest	1
vouchsafe	1
voluptuous	1
vital	1
virtuous	1
vintage	1
vigorous	1
vehement	1
valuable	1
valiant	1
vainglorious	1
vail	1
vagrant	1
uttered	1
utmost	1
useth	1
upright	1
uphold	1
upbraided	1
unyielding	1
unwholesome	1
unwearied	1
unutterable	1
unusual	1
unused	1
unthought	1
unthankful	1
unteachable	1
unsure	1
unstayed	1
unstable	1
unspeakable	1
unsound	1
unskilful	1
unsating	1
unruly	1
unresolved	1
unquiet	1
unpraised	1
unpassable	1
unnatural	1
unmarried	1
unlimited	1
unlearned	1
unknowing	1
unkindled	1
unintelligible	1
ungoverned	1
unforgotten	1
unfledged	1
unfair	1
unexplained	1
unexpected	1
unemployed	1
undisturbed	1
undistracted	1
understandeth	1
undefilable	1
uncultivated	1
uncorruptible	1
unchanged	1
unceasing	1
unbelieving	1
unbecoming	1
unassuming	1
unarranged	1
unanxious	1
unalterable	1
unallowed	1
unadorned	1
uman	1
ulcerous	1
twisted	1
triple	1
tremble	1
treble	1
treasured	1
trample	1
tragical	1
touching	1
torment	1
token	1
toilsome	1
thy	1
thrown	1
threefold	1
thinketh	1
thin	1
therefrom	1
theirs	1
thee	1
telleth	1
tearful	1
tardy	1
talented	1
syrian	1
syllable	1
swollen	1
swift	1
suspicious	1
surpassest	1
supercelestial	1
sufficeth	1
successive	1
subordinate	1
sublime	1
stung	1
studious	1
studied	1
strengthless	1
strait	1
stiff	1
steep	1
steadfast	1
sponge	1
speechless	1
speaketh	1
speakest	1
speak	1
sour	1
sore	1
sometime	1
solemn	1
softened	1
sluggish	1
slothful	1
slavish	1
skilful	1
sinful	1
silly	1
sighted	1
shonest	1
shattered	1
sharper	1
shall	1
shaggy	1
shady	1
severer	1
severe	1
serviceable	1
sensitive	1
seemly	1
seductive	1
secure	1
secondary	1
seated	1
scenical	1
sangest	1
safer	1
ruinous	1
rude	1
rolling	1
riotous	1
rigorous	1
rightful	1
richer	1
revolving	1
revolting	1
reverential	1
restest	1
respective	1
resolute	1
resisteth	1
requitest	1
remembered	1
remarkable	1
remaineth	1
relative	1
rejoicest	1
recourse	1
recollected	1
recent	1
rebellious	1
readier	1
qualified	1
punishable	1
proveth	1
promising	1
prolix	1
profound	1
profligate	1
proconsular	1
proceedeth	1
primary	1
previous	1
preeminent	1
praetorian	1
pourest	1
potent	1
possesseth	1
popular	1
polluted	1
polished	1
pliant	1
plenary	1
play	1
pitiful	1
pitiable	1
pilgrim	1
physic	1
pervious	1
perverted	1
perverse	1
perspicuous	1
persevering	1
perplexed	1
perishable	1
perish	1
perilous	1
perceive	1
peculiar	1
peaceful	1
payest	1
passible	1
partaketh	1
parental	1
overpast	1
overjoyed	1
overflowing	1
overclouded	1
overcharged	1
overcast	1
otherwhere	1
oratory	1
oppressed	1
opposing	1
opposed	1
opinionative	1
opening	1
omnipotent	1
omened	1
observed	1
numerous	1
numberest	1
null	1
nought	1
notorious	1
ninth	1
nimble	1
neighbouring	1
negligent	1
needful	1
needeth	1
near	1
mute	1
musical	1
multitude	1
muddy	1
mournful	1
motherly	1
moral	1
momentous	1
momentary	1
moderate	1
mirthful	1
milky	1
mightier	1
merry	1
melodious	1
meet	1
measurable	1
mean	1
material	1
masculine	1
marriageable	1
malignant	1
malicious	1
main	1
maimed	1
madest	1
lustful	1
ludicrous	1
loving	1
livest	1
lively	1
literary	1
laxly	1
latin	1
later	1
late	1
lamentable	1
laden	1
knotty	1
kindred	1
kindled	1
keen	1
joyful	1
joint	1
jest	1
irrevocable	1
intoxicated	1
intimate	1
intensest	1
intense	1
instructed	1
instinctive	1
instant	1
insatiate	1
insatiable	1
inordinate	1
injurious	1
injurable	1
initiatory	1
inharmonious	1
inflamed	1
infer	1
infantine	1
inexpressible	1
inexperienced	1
inevitable	1
indulgent	1
indigested	1
indigent	1
indebted	1
incurable	1
incredible	1
incorrect	1
incommutable	1
inactive	1
inaccessible	1
impregnable	1
impotent	1
imperishable	1
immutable	1
immense	1
illumined	1
humbled	1
humane	1
holily	1
holden	1
hitherto	1
hereditary	1
helpful	1
heinous	1
heavier	1
heardest	1
healthy	1
headlong	1
harsh	1
harmonized	1
harmonious	1
harmless	1
harder	1
hapless	1
hadst	1
grown	1
greedy	1
grecian	1
gratuitous	1
grassy	1
graceful	1
gorgeous	1
goest	1
glowing	1
gladsome	1
gladdened	1
gay	1
gainful	1
furious	1
fruitless	1
frozen	1
front	1
fro	1
frightful	1
freed	1
fraught	1
foster	1
fortunate	1
forthcoming	1
forsakest	1
forsaken	1
foretold	1
forethought	1
foresignified	1
forenamed	1
foreign	1
fore	1
forceth	1
folly	1
followeth	1
fluttereth	1
floating	1
fleeth	1
flattering	1
fittest	1
firmness	1
firm	1
finest	1
fine	1
findest	1
filthy	1
figurative	1
fifth	1
fiercest	1
fervid	1
fervent	1
feareth	1
favoured	1
faulty	1
fatness	1
fat	1
fast	1
farness	1
fantastic	1
fancy	1
famished	1
fairer	1
faileth	1
faced	1
fabulous	1
exuberant	1
external	1
express	1
expansive	1
exhausted	1
excursive	1
excited	1
excessive	1
exalted	1
exact	1
evident	1
eunuchs	1
esteemed	1
envious	1
envenomed	1
enticing	1
enthralled	1
ensnared	1
enlighteneth	1
enduring	1
enacteth	1
emptiness	1
embittered	1
eligible	1
elevated	1
edged	1
ecclesiastical	1
easier	1
easeful	1
earliest	1
eager	1
dutiful	1
duller	1
dull	1
dreadful	1
dreaded	1
downward	1
dormant	1
doleful	1
doest	1
docile	1
dividest	1
divided	1
diverse	1
disturbed	1
distinguished	1
distinct	1
distant	1
disquieted	1
disgusted	1
diseased	1
discreet	1
discoverable	1
discordant	1
disagreeing	1
directeth	1
diligent	1
diddest	1
devoted	1
devilish	1
despiseth	1
desperate	1
depraved	1
departed	1
demanding	1
delightsome	1
delightful	1
deliberate	1
definite	1
defiled	1
defective	1
decrepit	1
dearest	1
darkest	1
darkened	1
damnable	1
custom	1
cunning	1
crookedness	1
criticising	1
creepeth	1
covetous	1
covenanted	1
counterfeit	1
couldest	1
corrupt	1
corrigible	1
corresponding	1
correct	1
convinced	1
converted	1
contrite	1
contradictory	1
continued	1
continual	1
contentious	1
contemn	1
containeth	1
consumest	1
constituted	1
constant	1
consistent	1
confound	1
condole	1
compound	1
complete	1
committed	1
commended	1
cloven	1
cloudy	1
close	1
cleaveth	1
clearest	1
cleansed	1
clean	1
choleric	1
ceasest	1
carthaginian	1
careless	1
captious	1
candid	1
calm	1
busy	1
brute	1
brittle	1
boyish	1
boundary	1
bottomless	1
bondage	1
bloody	1
blissful	1
blinded	1
blasphemous	1
blameworthy	1
blameless	1
black	1
bier	1
bespotted	1
bepraised	1
becometh	1
basest	1
base	1
barbarian	1
babylonian	1
awhile	1
awful	1
avoided	1
averse	1
audacious	1
attentive	1
attempered	1
athirst	1
assured	1
aquatic	1
apollinarian	1
annual	1
anniversary	1
ample	1
amiable	1
ambitious	1
amazing	1
agreeable	1
agonistic	1
aghast	1
affianced	1
affected	1
adulterous	1
adorned	1
acquainted	1
accursed	1
abstract	1
abstemious	1
absolute	1
above	1
abiding	1
