trigram	frequency
name of heaven	8
should not be	8
senses of the	8
of my flesh	8
what i have	8
and thou didst	8
that thou mightest	8
i find thee	8
the nature of	8
is one thing	8
the force of	8
and there was	8
so that i	8
increase and multiply	8
when i was	8
sons of men	8
the whole world	8
he was not	8
the dry land	8
that thou art	8
of the lord	8
knew it not	8
called heaven and	8
life of the	8
he would not	8
that in the	8
for thou hast	8
the things which	8
the matter of	8
i confess unto	8
it was made	8
the creator of	8
and yet i	8
but if they	8
and with a	8
and darkness was	8
i have not	8
is it to	8
the death of	8
for they are	8
and it was	8
far from thee	8
and to the	8
the knowledge of	8
that so the	8
they would not	8
of a body	8
i am not	8
the mouth of	8
as much as	8
wherein i was	8
it is no	8
i knew it	8
the earth was	8
in the very	8
the lust of	8
as far as	8
the end of	8
that it is	8
in thy word	8
when it was	8
now is not	8
but that i	8
of thy creation	8
the earth invisible	8
i had read	8
of a man	8
the spaces of	8
time to come	7
motion of a	7
as in the	7
fowls of the	7
in my mind	7
of my own	7
of the universe	7
of thy word	7
thou hadst made	7
for which i	7
that to be	7
the son of	7
i say that	7
but what i	7
yet did i	7
and what is	7
of his own	7
into my heart	7
nor do i	7
of my memory	7
and for this	7
but the spirit	7
who art the	7
of the same	7
in that which	7
woe is me	7
let it be	7
the sight of	7
thou madest the	7
the sweetness of	7
the heart of	7
the word was	7
had begun to	7
that i am	7
i might see	7
and there is	7
the salvation of	7
the living soul	7
as not to	7
that they are	7
i had heard	7
which is the	7
this is the	7
name of a	7
by the same	7
is it that	7
because it was	7
and all things	7
a sort of	7
and out of	7
i had found	7
then do i	7
that he had	7
but when i	7
that thou madest	7
i will not	7
and i knew	7
o lord god	7
but in thy	7
the things of	7
and to what	7
the words of	7
all at once	7
i have been	7
to the end	7
fountain of life	7
so far as	7
up and down	7
of thy christ	7
out of nothing	7
as i could	7
which are not	7
i was to	7
whom are all	7
the things themselves	7
lights in the	7
let there be	7
of the sun	7
nor in the	7
of the waters	7
in the truth	7
thou hast created	7
as it was	7
and that thou	7
didst thou make	7
that i have	7
space of time	7
them to be	7
of thy servant	7
of my body	7
are not yet	7
now no longer	7
and if i	7
i will pass	7
that he was	7
myself to be	7
it may be	7
life of man	6
of the stars	6
but i was	6
of the heaven	6
for i have	6
for that they	6
things that are	6
to thee for	6
he might be	6
of thy mercy	6
of thy truth	6
of the truth	6
hast given me	6
the fowls of	6
the authority of	6
nor dost thou	6
coeternal with thee	6
that which i	6
so great a	6
as if he	6
of the whole	6
light of the	6
thou in the	6
and the darkness	6
i confess to	6
they were not	6
if it were	6
by no means	6
it is the	6
but with the	6
of the faithful	6
it should be	6
which is called	6
it were the	6
out of that	6
was the cause	6
the kingdom of	6
the space of	6
given to the	6
thou thyself art	6
in the flesh	6
of the future	6
unto my soul	6
far from me	6
nor are they	6
that thou mayest	6
to be in	6
that i know	6
and when i	6
the thing itself	6
but when he	6
then is it	6
it could not	6
as i would	6
told me of	6
make heaven and	6
it had been	6
for no other	6
thy good spirit	6
be able to	6
by which we	6
did i not	6
what i know	6
all things are	6
the eye of	6
with a strong	6
the glory of	6
that we might	6
i do not	6
which it is	6
of this life	6
to me to	6
but the earth	6
thou wert not	6
i began to	6
or any other	6
which now is	6
of thy church	6
not my soul	6
as i was	6
spaces of times	6
such as i	6
which thou hadst	6
the catholic faith	6
the sense of	6
that god made	6
i saw not	6
for i had	6
lust of the	6
and the other	6
to whom i	6
the beginning of	6
i should be	6
the will of	6
to confess unto	6
know not how	6
but i had	6
to what end	6
let him not	6
in the name	6
as to the	6
and so it	6
when i had	6
a long time	6
in these things	6
is in the	6
shall it be	6
for there is	6
at the same	6
as a boy	6
and when they	6
but thou art	6
i did it	6
which is in	6
nor is it	6
of thy spirit	6
the joy of	6
because thou art	6
in the whole	6
the depth of	6
present of things	6
because he is	6
the other senses	6
form of the	5
of thy holy	5
then did i	5
what thou wilt	5
let us love	5
in some way	5
to be done	5
yet are they	5
the presence of	5
the ears of	5
to conceive of	5
this power of	5
that they might	5
there be three	5
me what thou	5
thou art not	5
yet was i	5
and that i	5
above the waters	5
createdst heaven and	5
had i then	5
soul of man	5
in thy presence	5
sense of the	5
as if it	5
was it not	5
and they are	5
the mother of	5
to confess to	5
but that he	5
whom thou hast	5
so long as	5
a righteous man	5
when he had	5
i had never	5
was in the	5
and in my	5
that they should	5
things of the	5
god of my	5
we may be	5
further from thee	5
and yet we	5
unless they were	5
i am thy	5
of the law	5
and in the	5
to him that	5
art the truth	5
for he is	5
was made by	5
my inner ear	5
before all times	5
and over all	5
there is a	5
unto thee the	5
is not in	5
in thy church	5
in the church	5
takes place in	5
so much the	5
i might have	5
thee to be	5
such as are	5
what i had	5
out of all	5
and yet it	5
by my own	5
for he was	5
deserve of thee	5
the land of	5
to which i	5
by the holy	5
so many years	5
unto the end	5
in this life	5
call to mind	5
wilt have mercy	5
i remember it	5
borne above the	5
do i love	5
away from the	5
by those who	5
those that are	5
given unto us	5
for a while	5
visible and invisible	5
of all these	5
ought not to	5
nor is there	5
i learnt thee	5
and in all	5
let no man	5
fruits of the	5
whether it be	5
in which i	5
that there was	5
the affections of	5
things of this	5
to be false	5
that i could	5
for i was	5
sun and moon	5
would not have	5
and by the	5
for what is	5
flesh and blood	5
thou didst not	5
is not the	5
the service of	5
the darkness of	5
of thy grace	5
so that the	5
so much as	5
an hundred years	5
there was a	5
light of my	5
much the more	5
a strong voice	5
spaces of the	5
word was made	5
what am i	5
i asked the	5
as well as	5
from the beginning	5
as i said	5
the ministry of	5
in my inner	5
what i am	5
and to be	5
for me to	5
under thy wings	5
it was that	5
did god make	5
for i am	5
also in the	5
and ye shall	5
me in my	5
in thy wisdom	5
desire to be	5
of which i	5
created heaven and	5
yet did not	5
for thou didst	5
it is a	5
that they had	5
and yet are	5
to be seen	5
be at all	5
that he would	5
go to the	5
not how to	5
is there any	5
that the earth	5
thee to have	5
to know the	5
whether he should	5
he did not	5
will pass beyond	5
lord jesus christ	5
when he was	5
thine only son	5
which is above	5
as a whole	5
as if i	5
also to be	5
a part of	5
far as i	5
the memory itself	5
it is said	5
the face of	5
what i now	5
and in this	5
the sacrifice of	5
of him that	5
nor will i	5
thanks to thee	5
understood by the	5
if he were	5
it is one	5
of its own	5
since i learnt	5
was made flesh	5
o my soul	5
of thy goodness	5
the food of	5
to be believed	5
without any interval	5
we are not	5
the truth of	5
there be light	5
word coeternal with	5
said to be	5
when i love	5
hath no space	5
have not been	5
the cause of	5
heart and tongue	5
call upon thee	5
they are good	5
to what i	5
present with me	5
me to be	5
the rule of	5
to those that	5
so far forth	5
that which thou	5
but what is	5
of so many	5
when they were	5
able to do	5
and what i	5
return to thee	5
will to be	5
which was not	5
in his own	5
it was done	4
the books of	4
the god of	4
and the like	4
how shall i	4
sacrifice to thee	4
when they are	4
god created heaven	4
another he who	4
force of memory	4
yet is not	4
of those that	4
if a man	4
we have been	4
in its own	4
is the same	4
things which i	4
of the holy	4
that it had	4
cleaving unto thee	4
of the mouth	4
not of the	4
the delight of	4
me from the	4
that they who	4
not as being	4
but when we	4
of the words	4
the liberal sciences	4
i was now	4
that so it	4
do we measure	4
if there were	4
with my friends	4
free from the	4
for we are	4
the same time	4
multiplied upon the	4
god to be	4
o god my	4
that he who	4
in her own	4
that he should	4
sweet to me	4
whence is evil	4
thou createdst heaven	4
and i had	4
with a heart	4
the pleasures of	4
of thy handmaid	4
him to be	4
know not whether	4
make any thing	4
which she had	4
of the day	4
the good of	4
thou hadst not	4
which are before	4
unto thy name	4
and as i	4
beginning god created	4
not at all	4
i speak of	4
to be created	4
of the eyes	4
love my god	4
to be happy	4
at thy right	4
under the firmament	4
spiritual and corporeal	4
heal all my	4
in thine eyes	4
do i seek	4
of my god	4
of the will	4
resistest the proud	4
knew not how	4
but he was	4
and thou shalt	4
the hand of	4
the fulness of	4
upon the waters	4
hast made me	4
that there is	4
as he was	4
firmament of thy	4
all things were	4
thou commandest me	4
the foundation of	4
of thy servants	4
i love my	4
beasts of the	4
the pride of	4
had heard of	4
any other way	4
not of thee	4
from the dead	4
the children of	4
had i not	4
the eternity of	4
of mine eyes	4
could not speak	4
by whom thou	4
have mercy upon	4
and earth were	4
i saw that	4
it to the	4
but it is	4
of those who	4
they have been	4
between god and	4
in him who	4
pleasures of the	4
day to day	4
morning and evening	4
the good master	4
all the earth	4
things past and	4
which he had	4
because thou hast	4
to the humble	4
but our god	4
thanks be to	4
eye of my	4
be lights in	4
for as he	4
so is it	4
for we do	4
depth of thy	4
enjoin what thou	4
deprived of all	4
in this world	4
but to be	4
nor was i	4
and how thou	4
had forgotten it	4
of which he	4
for that it	4
which were not	4
the sun and	4
together in the	4
these things are	4
the way of	4
there be a	4
in the voice	4
but they who	4
space of a	4
being understood by	4
be to thee	4
him that is	4
into my mind	4
or the like	4
of the matter	4
and in thy	4
coeternal with himself	4
it cannot be	4
as i am	4
i had forgotten	4
the law and	4
darkness upon the	4
i felt that	4
bring forth the	4
and yet that	4
part of the	4
to be praised	4
up in thy	4
they were to	4
nature of the	4
voice of thy	4
he who says	4
him who is	4
if they were	4
image and likeness	4
i loved thee	4
to be true	4
yet it was	4
they had not	4
happy life is	4
the peace of	4
that that which	4
death of the	4
for that he	4
beyond this power	4
but by the	4
thou madest not	4
believe that thou	4
whom it was	4
by the other	4
and he that	4
i wished to	4
to praise thee	4
the soul of	4
but only to	4
for a man	4
do i speak	4
the waters of	4
on whom thou	4
the sound of	4
the spiritual and	4
out of his	4
of such as	4
in respect of	4
in his word	4
for that thou	4
one of the	4
after the image	4
that is not	4
which shall be	4
and by this	4
a body is	4
of thee i	4
she knew not	4
what i might	4
but of the	4
all my infirmities	4
that out of	4
of the memory	4
my inmost soul	4
what is this	4
if he be	4
by how much	4
or if it	4
of things past	4
the mind of	4
and let it	4
though it were	4
of the creator	4
as he is	4
we measure times	4
but when it	4
was not such	4
of a human	4
and therefore do	4
all things in	4
to thy grace	4
to be taken	4
it doth not	4
would fain be	4
before all things	4
to be called	4
see how it	4
o our god	4
that man of	4
than if it	4
the unchangeable truth	4
not in them	4
and the night	4
a little one	4
thou madest them	4
be deprived of	4
we should not	4
i loved to	4
is in him	4
into the world	4
whether it were	4
now to be	4
let thy mercy	4
that thou shouldest	4
of my tongue	4
and to will	4
but from thee	4
not such as	4
was not in	4
knew not what	4
he made us	4
let the waters	4
and in a	4
that is able	4
but because it	4
the mind commands	4
since thou hast	4
through the whole	4
and now i	4
as it is	4
for thou wert	4
wholly every where	4
that cometh into	4
what i say	4
the things that	4
created by thee	4
not in the	4
made all things	4
if they be	4
what thou enjoinest	4
much as thou	4
the happy life	4
the holy scriptures	4
and he is	4
nor had i	4
for the most	4
and the prophets	4
of his body	4
the abyss of	4
which should be	4
be not conformed	4
the earth may	4
which may be	4
when i hear	4
to the very	4
thou wilt have	4
shall i say	4
one of those	4
my heart and	4
and therefore the	4
this is in	4
thou alone art	4
whereof to make	4
to the light	4
and this i	4
to the poor	4
suffer me to	4
with all his	4
of the great	4
for love of	4
to serve thee	4
the understanding of	4
this was the	4
i to myself	4
lest i should	4
health of my	4
which we see	4
who would not	4
are they not	4
desiring to be	4
thou hast forgiven	4
nor yet do	4
they shall be	4
to make a	4
by the spirit	4
to thee what	4
eating and drinking	4
of the deep	4
the punishment of	4
so as not	4
his word coeternal	4
not be deceived	4
had i been	4
it were a	4
and my own	4
i might be	4
which cannot be	4
of whom are	4
thought to be	4
wont to be	4
law and the	4
for all this	4
and holy ghost	4
wish to be	4
yet is it	4
that i can	4
not that i	4
of the heavens	4
in all these	4
the most part	4
the stars and	4
for that i	4
for if he	4
nor those which	4
i came to	4
that i remember	4
but he that	4
of this sort	4
in common with	4
me out of	4
from the body	4
this is it	4
might not be	4
made by him	4
to go to	4
in thy truth	4
to me a	4
behold my heart	4
by the things	4
man that cometh	4
but as i	4
and all the	4
for that the	4
to my memory	4
of my remembrance	4
let them say	4
to another the	4
that he is	4
which as yet	4
the health of	4
of so great	4
and all these	4
to those who	4
the formless matter	4
down to the	4
they knew not	4
but let us	4
will of god	4
full of thee	4
these things which	4
do i measure	4
whom all things	4
so small a	4
where i was	4
works of mercy	4
ought to have	4
motions of the	4
and who is	4
of his mind	4
which have no	4
and enjoin what	4
if there be	4
subject to change	4
the lord god	4
one thing in	4
whom shall i	4
no other than	4
more than the	4
out of it	4
but in thee	4
with the words	4
sweet unto me	4
to his own	4
confess unto thy	4
is like unto	4
be in the	4
he should be	4
from the truth	4
and the whole	4
should say that	4
i call thee	4
in those books	4
the hearts of	4
commandest me to	4
that i speak	4
turned to the	4
on a sudden	4
kingdom of heaven	4
which i remember	4
against my will	4
my god and	4
end of the	4
thou art my	4
and it is	4
how long it	4
as thou art	4
taken out of	4
on fire to	4
be far from	4
to believe that	4
conceive of thee	4
should it be	4
the inner man	4
from day to	4
do all things	4
might be made	4
that heaven of	4
deal with me	4
he made heaven	4
is it not	4
of the spirit	4
how didst thou	4
is nothing else	4
yet are not	4
and this was	4
to my mother	4
which i have	4
is the thing	4
he might have	4
and to have	4
it was to	4
what can be	4
thee for us	4
and that he	4
madest heaven and	4
but they are	4
for when i	4
to have in	4
into the past	4
power of mine	4
lights of heaven	4
with the same	4
of the philosophers	4
according to his	4
these things had	3
by those words	3
shall i find	3
because i was	3
come wherein i	3
i measure times	3
should we not	3
that thou hadst	3
and found it	3
then i had	3
neither do they	3
let me not	3
nor did they	3
she was not	3
of those things	3
on these things	3
not one thing	3
in his mind	3
it was in	3
how long time	3
hadst thou not	3
thou hast commanded	3
and in thee	3
of my mother	3
from the same	3
of what i	3
see that it	3
to be feared	3
of things present	3
out of them	3
us to thee	3
to have learned	3
if it had	3
because there was	3
of the past	3
with a holy	3
which when he	3
to be some	3
is to say	3
canst not be	3
and i heard	3
like a skin	3
if the second	3
who were to	3
in like manner	3
as a man	3
is but a	3
as it had	3
was that i	3
shall have passed	3
not conformed to	3
can be continent	3
by a vision	3
why is it	3
my thoughts on	3
had i now	3
praise of thy	3
have i heard	3
of thy works	3
i ought to	3
he might not	3
thy just judgment	3
service of my	3
for thou hadst	3
i seemed to	3
in those years	3
essence and life	3
must needs be	3
life of my	3
me with a	3
and the fowls	3
name of earth	3
of thee to	3
hast told me	3
was it that	3
that all the	3
when i call	3
the delights of	3
the school of	3
heal my soul	3
so that it	3
power of my	3
i delighted in	3
of thy son	3
may love thee	3
for i felt	3
and let us	3
in this very	3
to be so	3
thee for the	3
a young man	3
in the most	3
day and night	3
when he wrote	3
of which they	3
unto thy mercy	3
one and the	3
me with sobriety	3
that which they	3
of the lust	3
is to come	3
yet i know	3
this could not	3
when i am	3
my mind to	3
would i be	3
through a glass	3
fair and fit	3
so many of	3
where then did	3
createdst all things	3
unless it had	3
thou pluckest me	3
that thou sawest	3
the disease of	3
from thy presence	3
law of sin	3
in the presence	3
then do we	3
can it be	3
of my inmost	3
out of what	3
they were created	3
before he made	3
that he thought	3
thou resistest the	3
then it was	3
all the rest	3
to be cured	3
in them a	3
to any thing	3
vicissitude of times	3
yet was it	3
grow sweet unto	3
we have not	3
of wisdom and	3
invisible and visible	3
and more cleared	3
i was then	3
by the renewing	3
i should will	3
man of thine	3
not as a	3
of such things	3
ears of my	3
things themselves which	3
through whom thou	3
is not one	3
not knowing what	3
belong to the	3
which is given	3
is no longer	3
i am a	3
yet is there	3
waters of the	3
what we were	3
thou hast told	3
known to the	3
taken up with	3
the humility of	3
by the space	3
but it doth	3
way and that	3
the bottom of	3
before my eyes	3
it was good	3
up with the	3
themselves to be	3
according to thy	3
which i could	3
come into me	3
things to be	3
were sometimes darkness	3
times as they	3
the meaning of	3
house of god	3
books of the	3
there is another	3
puffed up with	3
is not a	3
a short time	3
of our own	3
and what have	3
let not my	3
i would fain	3
ought to be	3
but this was	3
what then is	3
to think that	3
desire to know	3
i have gone	3
and yet they	3
a far country	3
who is he	3
formless matter of	3
so many things	3
i found him	3
could by no	3
shall i call	3
what do i	3
how much more	3
the weakness of	3
above the earth	3
seem to myself	3
say unto my	3
him not as	3
nor of the	3
and the corporeal	3
affections of my	3
all things visible	3
but the lord	3
and that our	3
of those books	3
more than they	3
that we are	3
now are not	3
and it seemed	3
not even a	3
the manifestation thereof	3
what he was	3
then it is	3
in this place	3
thy will is	3
the tongue of	3
itself is not	3
from the time	3
we shall see	3
which they had	3
what is that	3
but if the	3
had been made	3
pray for me	3
the lord hath	3
by reason of	3
thou madest all	3
in thy secret	3
which is to	3
we behold the	3
the christian faith	3
hadst not thou	3
in thy books	3
yet it is	3
as thou hast	3
not to the	3
moses to have	3
to the quick	3
wert thou not	3
in any thing	3
my soul by	3
to pass away	3
itself is present	3
was i then	3
i had come	3
in due season	3
and i will	3
thou make the	3
to be held	3
who is like	3
be three times	3
such a man	3
in our hearts	3
no longer a	3
so long after	3
night and day	3
name of christ	3
of thy law	3
to take it	3
renewing of your	3
to a close	3
nothing else than	3
us not then	3
not of myself	3
as that i	3
how did i	3
know not of	3
of thy love	3
i desired to	3
from the waters	3
i feared to	3
sons of adam	3
and not being	3
what i would	3
hast made all	3
say unto me	3
thine own image	3
where i had	3
of the platonists	3
of the house	3
to be preferred	3
called by the	3
of your mind	3
art ever the	3
the praise of	3
if i had	3
hearts by the	3
back to thee	3
for if i	3
according to which	3
thou to me	3
which he hath	3
hath been long	3
a power of	3
let my soul	3
the mould of	3
heldest thy peace	3
be bounded by	3
i should have	3
did it not	3
of thy house	3
sobriety abide under	3
the weight of	3
begun to be	3
is the mind	3
the renewing of	3
o god of	3
not the same	3
the hope of	3
that ye may	3
long as that	3
until it be	3
nor was it	3
thou knowest that	3
or to be	3
this visible world	3
and was not	3
the sound is	3
when i read	3
the mind itself	3
which before was	3
up by the	3
not believe it	3
them that believe	3
thou seest them	3
mind commands the	3
myself to have	3
a man is	3
in that theft	3
they pass by	3
these lower things	3
art the lord	3
his mind to	3
be more and	3
myself when i	3
and i loved	3
but because they	3
the causes of	3
had not done	3
by which they	3
seem to me	3
and in no	3
lord our god	3
as i had	3
images of the	3
to see in	3
to be moved	3
to whom shall	3
be better than	3
other parts of	3
for if the	3
it came to	3
we are saved	3
by thee to	3
and from thee	3
word of knowledge	3
saw not the	3
the true faith	3
what takes place	3
to me the	3
of thy light	3
thou hast appointed	3
first in time	3
for thy mercy	3
where was i	3
subject to the	3
being able to	3
had not the	3
day and the	3
what is in	3
the loss of	3
so by the	3
to this purpose	3
when they hear	3
for the better	3
not in those	3
unto thee for	3
with joy i	3
my soul be	3
let him that	3
and with me	3
a living soul	3
great is the	3
the same holds	3
what they say	3
these things be	3
or in the	3
of us all	3
of his spirit	3
shed abroad in	3
not what i	3
according to our	3
is in it	3
be ye transformed	3
i was seeking	3
created and formed	3
while we were	3
both heaven and	3
to them that	3
with sobriety abide	3
and creeping things	3
of god is	3
me to serve	3
whom they were	3
of a good	3
to be spoken	3
the way that	3
to be carried	3
of those words	3
thee that thou	3
art the same	3
was but a	3
she was wont	3
meek and lowly	3
what thou madest	3
now begun to	3
separated from the	3
to this world	3
i seem to	3
that they would	3
which are made	3
to be content	3
am thy salvation	3
before heaven and	3
for this also	3
there might be	3
and how that	3
a song of	3
the soul is	3
set before me	3
to call on	3
and to live	3
earth may bring	3
and yet is	3
hast thou made	3
but as a	3
departed this life	3
love of thy	3
memory of the	3
of my misery	3
like unto thee	3
figure of a	3
in whom are	3
not this or	3
by little and	3
things which they	3
god and man	3
for in this	3
hunger and thirst	3
dust and ashes	3
be true that	3
any interval of	3
and as yet	3
this in the	3
the medicine of	3
by the ministry	3
it be more	3
and called heaven	3
from the wise	3
and how far	3
this is my	3
and in that	3
present in my	3
god and lord	3
all my bones	3
o thou my	3
this is double	3
thee the sacrifice	3
of things to	3
to be perfected	3
i see that	3
in the heavens	3
through the senses	3
abide under thy	3
and that no	3
of mine own	3
to us in	3
of all good	3
had come to	3
all things which	3
love of wisdom	3
and to say	3
as to make	3
by whom they	3
if i would	3
but he made	3
on every side	3
because he had	3
and from that	3
to myself to	3
ever at rest	3
born in the	3
and with all	3
sweetness of that	3
approach unto thee	3
woe to the	3
and yet thou	3
let us not	3
that thou wert	3
with a wonderful	3
to joy in	3
bounded by the	3
as they pass	3
to be that	3
the reason of	3
i know that	3
is not this	3
thing i was	3
and let them	3
eternity of the	3
i longed to	3
one thing to	3
what they were	3
me to thee	3
how then do	3
the creator and	3
by the spaces	3
therefore do i	3
that which it	3
all that i	3
what then was	3
i loved not	3
that is the	3
thou heardest her	3
and the rest	3
pluckest me out	3
did we not	3
what i will	3
of the heavenly	3
interval of time	3
from the bitterness	3
the day and	3
and the light	3
whom i had	3
what thou willedst	3
he that is	3
present to my	3
in his name	3
seek after leasing	3
is he who	3
with what fruit	3
him to have	3
no other reason	3
from east to	3
to do it	3
that by him	3
do i not	3
of human society	3
lowly in heart	3
so oft as	3
have mercy on	3
but not as	3
cometh into the	3
poor and needy	3
to be thus	3
say that thou	3
as yet is	3
of the cross	3
and where shall	3
it in a	3
i spake of	3
words of thy	3
they might not	3
the bond of	3
will i discover	3
when shall i	3
in one house	3
understanding of the	3
for this very	3
me to speak	3
what time is	3
alone i had	3
may bring forth	3
things out of	3
to the memory	3
the brightness of	3
of all the	3
in the knowledge	3
of my mouth	3
they should not	3
clear to me	3
but not even	3
and so great	3
confesseth unto thee	3
little by little	3
do not say	3
i had a	3
is it perchance	3
in the sight	3
the necessities of	3
i might say	3
i was in	3
our hearts by	3
things in the	3
which yet are	3
of that most	3
which the lord	3
and lowly in	3
which if i	3
to be brought	3
out of many	3
is in thy	3
to pray for	3
create heaven and	3
at no time	3
as to believe	3
we see the	3
is the beginning	3
not what thou	3
it shall not	3
which he is	3
whereby it might	3
the study of	3
thy sight clear	3
cleave unto thee	3
was i to	3
these things did	3
that loves him	3
to make this	3
the doctrine of	3
reason of the	3
by this may	3
fulness of thy	3
succession of times	3
the figure of	3
of mine which	3
away from thee	3
by their own	3
times past and	3
out of their	3
to the theatre	3
slow of heart	3
of it as	3
and not to	3
and the self	3
there was i	3
in so small	3
that is in	3
and when thou	3
in those words	3
and i saw	3
to be without	3
she would not	3
god made this	3
rightly said to	3
and whatever i	3
wrote these things	3
with all those	3
in heaven and	3
thou not in	3
were wont to	3
but because thou	3
and they who	3
he had received	3
her when she	3
a man of	3
who can readily	3
the very same	3
if i should	3
unto thee thy	3
hear from thee	3
that when i	3
is that good	3
as being in	3
in whom i	3
know how to	3
it ought to	3
should there be	3
was it then	3
many and divers	3
pleased with the	3
instead of thee	3
the eyes of	3
thy good pleasure	3
and through the	3
nor knew i	3
fountain of mercies	3
in that my	3
word of life	3
every man that	3
mercy upon me	3
as in a	3
cease to be	3
every one of	3
so shall it	3
when it hath	3
to such as	3
and dwelt among	3
it had not	3
we recognise it	3
neither should i	3
weakness of my	3
to mine own	3
not ye that	3
that through it	3
dominion over the	3
of the church	3
parts of the	3
against his will	3
if they shall	3
i have seen	3
that for which	3
that my soul	3
which was to	3
but from the	3
pain in my	3
through it i	3
i all but	3
wisdom and knowledge	3
to be loved	3
from the earth	3
thee do i	3
how much i	3
because it had	3
not even to	3
up to thee	3
thyself unto me	3
the gathering together	3
who is not	3
the steps of	3
these things we	3
my neck to	3
no longer be	3
and when it	3
thy catholic church	3
divided from the	3
for his own	3
the gift of	3
say that this	3
he is the	3
i can do	3
the great deep	3
not his own	3
what i then	3
was not altogether	3
hast made it	3
on account of	3
true light that	3
we speak of	3
by thy spirit	3
what i was	3
can do all	3
for the time	3
with all our	3
over in my	3
and i turned	3
is given unto	3
it is truth	3
i learned to	3
for he had	3
for they were	3
those things are	3
any of the	3
in the ears	3
and i perceived	3
is a long	3
but the things	3
is no place	3
this way and	3
but their images	3
is shed abroad	3
to be more	3
for the will	3
did i find	3
and what was	3
had not yet	3
is there betwixt	3
the moving creature	3
whereof i have	3
of a truth	3
delighted with the	3
thou art there	3
let them be	3
may not be	3
that formless matter	3
and they that	3
of a prophet	3
abroad in our	3
laid up in	3
in the manifestation	3
him in the	3
my nineteenth year	3
what is not	3
so it is	3
it were in	3
a long syllable	3
for the good	3
of a righteous	3
said in the	3
any thing to	3
of the two	3
ever the same	3
law of god	3
the moon and	3
and thus by	3
the wanderings of	3
to enjoy thee	3
that what i	3
me of the	3
was wont to	3
i had done	3
for the sake	3
he thought of	3
nothing else but	3
twice so much	3
if he would	3
by the senses	3
the lights of	3
for the kingdom	3
with its whole	3
be subject to	3
are not what	3
man of god	3
the same way	3
delight of the	3
the fishes and	3
forgetfulness is retained	3
in some sort	3
to thee is	3
because of the	3
before all days	3
there be no	3
it was no	3
not so as	3
when then i	3
the sake of	3
of our heart	3
my soul was	3
the society of	3
as if they	3
measure times as	3
to walk in	3
and if they	3
even unto the	3
for had i	3
i should not	3
praise thy name	3
things which we	3
but that the	3
neither do we	3
much as that	3
he who was	3
east to east	3
which i would	3
with thee is	3
and i said	3
shall not be	3
a human body	3
of things in	3
art the only	3
of her own	3
through a certain	3
knowledge of god	3
i pray thee	3
dare i say	3
it seemed to	3
chose rather to	3
thou sawest that	3
let me with	3
the waves of	3
yet suffer me	3
the burden of	3
of the most	3
by what way	3
will of the	3
for he would	3
and i know	3
yet i had	3
in one man	3
she had been	3
nor would i	3
not as god	3
than i was	3
the offspring of	3
was delighted with	3
is not so	3
of the gospel	3
the same constellations	3
that she might	3
by him i	3
to make them	3
that there are	3
it were so	3
of the creature	3
