quadgram	frequency
by the renewing of	3
be not conformed to	3
as far as the	3
because it is the	3
because it is true	3
by the spaces of	3
what then do i	3
that thou hast made	3
but he was not	3
therefore do i speak	3
being understood by the	3
between god and man	3
which is in him	3
through the spirit of	3
let us not then	3
him that is able	3
who is like unto	3
thou pluckest me out	3
the word of knowledge	3
the words of thy	3
out of the memory	3
of the lust of	3
the fulness of thy	3
i know not of	3
not so as to	3
in our hearts by	3
created before all things	3
my heart and tongue	3
and there was light	3
be deprived of all	3
of a righteous man	3
what i have been	3
what i now am	3
after thine own image	3
before heaven and earth	3
the beginning of the	3
the images of the	3
renewing of your mind	3
both heaven and earth	3
which is given unto	3
as it were in	3
hear the voice of	3
in so small a	3
the life of man	3
i had forgotten it	3
light of my heart	3
but because it is	3
the day and the	3
as much as thou	3
that i might be	3
the renewing of your	3
is in thy sight	3
times past and to	3
things which are before	3
that i could not	3
for no other reason	3
abroad in our hearts	3
that cometh into the	3
cometh into the world	3
to call on thee	3
but the word of	3
son of thy handmaid	3
for the kingdom of	3
of things to come	3
knew not how to	3
we measure times as	3
as if he had	3
i had begun to	3
that i was not	3
that nothing of this	2
which thou hast not	2
is in the mind	2
such will i discover	2
of the good master	2
because i am not	2
not how to conceive	2
and the power of	2
to be that which	2
i thought could not	2
how he may please	2
with the light of	2
the manner of the	2
deliver me out of	2
how then do i	2
not in judgment with	2
them to be thee	2
all things are true	2
the meaning of thy	2
when i call thee	2
whom shall i speak	2
i remember it not	2
of a lust of	2
one of the faithful	2
i handled it not	2
it rightly said to	2
of the sacrilegious rites	2
him let us love	2
hadst not as yet	2
out of my mind	2
but i knew it	2
i beseech thee by	2
man knoweth the things	2
ye have not been	2
this hast thou given	2
the image of him	2
her when she discovers	2
am about to repeat	2
the foundation of the	2
they are not the	2
thou art the truth	2
the chamber of my	2
the body of this	2
thy years which fail	2
of these things in	2
the noise of the	2
life of the bodies	2
the matter of heaven	2
creator and governor of	2
whether he should go	2
wisdom was created before	2
like the great deep	2
or any other way	2
what i shall say	2
as long as that	2
form to become a	2
by the spirit of	2
and altogether very good	2
able to do above	2
on all sides by	2
and the word was	2
whom in thy secret	2
which had begun to	2
prefect of the city	2
but out of nothing	2
takes place in the	2
what that should be	2
not how to love	2
as if it had	2
sawest every thing that	2
was to be created	2
whither they were to	2
i seek a happy	2
for what hath he	2
is one thing to	2
the reason of the	2
the mother of my	2
on whom thou wilt	2
he that receiveth a	2
sick of a fever	2
all things past and	2
to us to return	2
because i could not	2
and how was i	2
both see that to	2
heard of his father	2
and thy right hand	2
thou heldest thy peace	2
love of thy love	2
because thou art the	2
and what did it	2
to thee for me	2
made the heaven and	2
and on which side	2
have mercy on whom	2
there may be lights	2
hast thou loved us	2
to the praise of	2
into the same figures	2
the reward of a	2
which of the two	2
out of the snare	2
our lord and saviour	2
and a short time	2
and yet we say	2
are said to be	2
the things which we	2
whom thou wilt have	2
name of a righteous	2
thy image and likeness	2
the absence of light	2
there was no light	2
my god and my	2
in such wise to	2
this is the happy	2
the beginning he made	2
we shall see him	2
have sought thy face	2
of the fulness of	2
me also with a	2
to sharpen my tongue	2
when it was present	2
he judgeth all things	2
all those things which	2
of the soul is	2
i say that thou	2
him from the dead	2
believe thee to have	2
of ever finding truth	2
least of thy apostles	2
he would not be	2
ought i to seek	2
the gathering together of	2
inasmuch as i am	2
with the words of	2
moon and the stars	2
side is the victory	2
for so soon as	2
but what i now	2
the day come wherein	2
beginning god made the	2
neither if we eat	2
by i know not	2
my helper and my	2
had begun to be	2
i was delighted with	2
i contend not in	2
there also they be	2
the love of wisdom	2
the law of god	2
the present hath no	2
which if i should	2
to thee do i	2
and under the name	2
the sweetness of thy	2
the books of manichaeus	2
for whose sake he	2
which side is the	2
whereas thou alone art	2
man which is in	2
i thought to be	2
would i speak of	2
to go to rome	2
for thou didst not	2
the presence of the	2
may be lights in	2
were nothing for him	2
said to be seen	2
by the motion of	2
but how didst thou	2
unto thee the whole	2
we ask or think	2
to me above all	2
for thou hast said	2
will pass beyond this	2
in the beginning thou	2
thought could not be	2
he is meek and	2
weak things of the	2
out of my inmost	2
the things which i	2
feet out of the	2
the hope of thy	2
in his own voice	2
mother of my flesh	2
for the good of	2
for they are beautiful	2
he had been in	2
know how to abound	2
i might see how	2
may call on thee	2
law of sin which	2
then did i find	2
a difference whence a	2
the authority of thy	2
by what way dost	2
if i did not	2
laid hold of it	2
the sun stood still	2
i had found the	2
because it was not	2
that i remember forgetfulness	2
was it that i	2
aloud to us to	2
they were wont to	2
in the beginning he	2
any of the middle	2
or the spiritual and	2
by the other senses	2
there is betwixt the	2
the heart of man	2
yet was it not	2
as it were to	2
joy in the truth	2
nor do i see	2
hope we are saved	2
the things of the	2
the intelligible and the	2
it to be written	2
authority of thy book	2
let thy ministers work	2
to be the like	2
present of things past	2
in the morning i	2
because thou seest them	2
for him he is	2
the knowledge of him	2
but if they be	2
treasures of wisdom and	2
who had for many	2
sought whence is evil	2
certain books of the	2
but as unto carnal	2
i will seek thee	2
understood by those things	2
and that i was	2
what was to be	2
the god of my	2
ever since i learnt	2
that god made this	2
i was not yet	2
find no time before	2
which when he had	2
coming of this faustus	2
because it is theirs	2
present to my senses	2
motions of the sun	2
of man upon earth	2
swallowed up in victory	2
not created by thee	2
together of the waters	2
of the sun and	2
floods of mine eyes	2
our god is eternal	2
a thing to be	2
and wilt have compassion	2
i saw thy invisible	2
as if it sounded	2
madest the heaven and	2
which as yet is	2
good of my neighbour	2
be it done now	2
be equal to thee	2
which i could not	2
being ashamed of the	2
what thou teachest is	2
to do what we	2
in the memory itself	2
by how much they	2
which i wished to	2
him that loves him	2
transformed by the renewing	2
it might have been	2
where shall i find	2
death of the cross	2
to be preferred to	2
from that moment shall	2
as though she had	2
he had heard of	2
of god knoweth no	2
but that i know	2
the life of this	2
where we were sitting	2
by whom it was	2
and it was manifested	2
go to the wars	2
but in the memory	2
senses of the flesh	2
forth works of mercy	2
for even when we	2
what way dost thou	2
may be able to	2
let me know thee	2
him as he is	2
in judgment with thee	2
intelligible and the sensible	2
not conformed to this	2
also with a strong	2
and out of the	2
the praise of thy	2
knew not this way	2
it will be long	2
by her parents to	2
ye transformed by the	2
call thee to remembrance	2
the things of a	2
in the bottom of	2
the spirit against the	2
matter out of which	2
and divided from the	2
present as a whole	2
as to what i	2
the good of my	2
any succession of times	2
to such will i	2
wilt have compassion on	2
because there was no	2
yet it is not	2
had i not believed	2
that sixteenth year of	2
be pleased with the	2
have not been faithful	2
that lighteth every man	2
as yet are not	2
and that out of	2
lusteth against the spirit	2
this is my hope	2
i had done any	2
was still a formless	2
after thy image and	2
and their foolish heart	2
eye of my soul	2
affections of the mind	2
desiring to be clothed	2
without any succession of	2
yet it was not	2
the will of the	2
and whence do i	2
out of this life	2
the holy ghost which	2
whether spiritual or corporeal	2
it is not yet	2
and it was done	2
yet is it not	2
be in the memory	2
to be true that	2
of the sons of	2
that thou madest them	2
of thy faithful ones	2
the dry land may	2
my neck to thy	2
i know not whether	2
in whose presence i	2
the distances of the	2
present of things future	2
in whatsoever state i	2
the sound of the	2
see that it is	2
unto thee thy gifts	2
in those years i	2
bends his mind on	2
the bitterness of sorrow	2
continent unless thou give	2
for the salvation of	2
not whether out of	2
a space of time	2
the understanding of the	2
these and the like	2
to be in me	2
be continent unless thou	2
skilled in the liberal	2
if ye have not	2
it were the lesser	2
the sacrifice of thanksgiving	2
and who is he	2
our lord jesus christ	2
in my inmost soul	2
was borne above the	2
and there was a	2
thy right hand upheld	2
i knew not how	2
unless thou give it	2
the moon and the	2
to another the gift	2
not out of any	2
that i have not	2
of that deep pit	2
which is called memory	2
nothing of this sort	2
for i have learned	2
is meek and lowly	2
from thee of themselves	2
for the rule of	2
seem to myself to	2
robbery to be equal	2
not out of thyself	2
praise of thy grace	2
show us good things	2
that to be true	2
the true light that	2
having the word of	2
for they had no	2
and yet it was	2
may bring forth the	2
the joy of the	2
in heaven and earth	2
which thou hadst created	2
and where shall i	2
of a body is	2
after the example of	2
as it were at	2
for a man to	2
as it had been	2
not be at all	2
of the heaven of	2
pass beyond this power	2
which are not yet	2
from whom we are	2
mine which is called	2
my soul praise thee	2
the ground under her	2
and confess to thee	2
it then with me	2
to be at all	2
the courses of the	2
i felt that i	2
even unto the end	2
did it profit me	2
wert thou not in	2
which i was not	2
as one hour comes	2
greatly to be praised	2
know not whether i	2
this earth that i	2
spirit of a man	2
far as i could	2
many things of this	2
since thou hast begun	2
broken my bonds in	2
the body of the	2
thou hadst not as	2
the ministry of the	2
be ye transformed by	2
was the day come	2
yet are they not	2
upon which there was	2
the truth of the	2
we joined with us	2
thou see in time	2
teachest is to be	2
silent in thy praises	2
the things themselves which	2
i could not recognise	2
as it were stars	2
flesh lusteth against the	2
for its own sake	2
present hath no space	2
they glorify him not	2
he hath more hold	2
no other reason but	2
from the mouth of	2
to the sex of	2
were the lesser light	2
in her own land	2
he would not have	2
the mouth of the	2
when dare i say	2
there be lights in	2
looking into the same	2
do ye love vanity	2
not because it is	2
eclipses of the greater	2
so far as is	2
let my soul praise	2
the face of the	2
that said in the	2
hast made all things	2
and of the earth	2
the lord jesus christ	2
what i had read	2
i sought whence is	2
that my soul may	2
truth of the things	2
how did i burn	2
the images of those	2
they knew not this	2
i might be born	2
whereas a happy life	2
i would not be	2
is less in a	2
the book of genesis	2
urged by their own	2
but be ye transformed	2
the other for his	2
who sitteth at thy	2
are not able to	2
alone i had never	2
though i saw it	2
voice of thy water	2
so oft as we	2
by a vision discover	2
fruits of the spirit	2
affections of my mind	2
the name of christ	2
unto thee for us	2
remove far from thee	2
but i was not	2
were not to be	2
i might not be	2
did god make the	2
is not the life	2
governor of the universe	2
was not such as	2
for a happy life	2
but he made us	2
for love of thy	2
intercession to thee for	2
by the voices of	2
that so it might	2
i had settled to	2
of him should be	2
believe god to be	2
i confess to have	2
that they had not	2
and that the more	2
shalt have treasure in	2
and the floods of	2
things which are behind	2
asked whether they would	2
but with the words	2
by those things which	2
morning i shall stand	2
eternal in the heavens	2
nothing for him to	2
shall i call it	2
that i had forgotten	2
are not what thou	2
for i did not	2
whom thou hast had	2
was it then with	2
art ever at rest	2
beasts of the field	2
for had i then	2
the name of earth	2
the heart of thy	2
no time before it	2
that he might not	2
to that said in	2
commandest me to serve	2
of all things visible	2
how high art thou	2
in the ears of	2
to this purpose said	2
and if it be	2
the hearing of the	2
yet such as to	2
after the manner of	2
as being in space	2
o god of my	2
pain in my chest	2
because he is god	2
for that it was	2
knowledge of him should	2
the lord our god	2
for i do love	2
since they would not	2
as to believe that	2
that least of thy	2
which are not what	2
it was done in	2
whence it was that	2
is the fountain of	2
and greatly to be	2
are they the images	2
if there also they	2
they were to go	2
thou hast made it	2
for thou hast commanded	2
was created before all	2
young men and maidens	2
which as yet are	2
was not yet such	2
know all things past	2
that dispenser of thine	2
the sex of her	2
is made up of	2
as much as they	2
and the darkness of	2
neither could that be	2
even the heaven of	2
wherein is my desire	2
and earth were made	2
to be equal with	2
to make his profession	2
the sins of my	2
shall stand in thy	2
present of things present	2
i was no longer	2
know not what other	2
mediator between god and	2
have in common with	2
and all at once	2
in respect of the	2
and the fowls that	2
who is to be	2
the affections of the	2
so small a space	2
was to be made	2
that the force of	2
in the same way	2
thou art my god	2
figure of a human	2
but i say that	2
out of the soul	2
of thine only son	2
have compassion on whom	2
image of him that	2
i had never done	2
to have twice so	2
let the waters bring	2
though she had been	2
that so by the	2
true light that lighteth	2
compassion on whom thou	2
thy years are one	2
went on with his	2
to the house of	2
thou wert with me	2
what is nearer to	2
it is not then	2
of the will of	2
confess unto thee the	2
by which we might	2
of so great a	2
on the fair and	2
and over all the	2
from thee it was	2
run ye to and	2
them not in time	2
neither the spirit of	2
joying in the truth	2
is nothing else than	2
not what thou art	2
will i discover myself	2
might be born to	2
he did not make	2
the law of the	2
and so it is	2
we may be able	2
that man of god	2
bitterness of my remembrance	2
for a sound is	2
life is but a	2
senses of my body	2
what before he willed	2
for that they were	2
through it i should	2
before the foundation of	2
who art the only	2
for if the first	2
the depth of the	2
that he should be	2
command it to be	2
man upon earth all	2
to make heaven and	2
not the life of	2
after the rudiments of	2
or what am i	2
me out of the	2
to the understanding of	2
as being borne above	2
thou light of my	2
out of the hearts	2
see that to be	2
which were not yet	2
i had read in	2
he is not yet	2
i would not have	2
he wrote these things	2
was delighted with that	2
hate her when she	2
the eternal creator of	2
that i had a	2
had i rather be	2
is it perchance that	2
it we do not	2
though he know not	2
that the motions of	2
whereby it might be	2
that he thought of	2
and i could not	2
shall it be opened	2
the creature more than	2
seek a happy life	2
thy years fail not	2
other reason but that	2
which is called heaven	2
contend not in judgment	2
to be signified by	2
and thy good spirit	2
the sweetness of that	2
signified by the name	2
the lord their god	2
that which is said	2
and woe was me	2
and ye shall find	2
things i then knew	2
what else is it	2
themselves to be wise	2
us not then say	2
have pity on me	2
the world was made	2
to thy grace i	2
but because thou art	2
the rule of the	2
that to be a	2
that the earth should	2
was at that time	2
it was finished in	2
of spaces of times	2
things of the world	2
committed to the memory	2
and i sought whence	2
circuit from east to	2
expectation of things to	2
which are to be	2
meat in due season	2
to take pleasure in	2
from love of play	2
just so much as	2
what is that good	2
who will show us	2
and darkness upon the	2
which he might be	2
did i so much	2
where then did i	2
should be equal to	2
because they are not	2
seem to me to	2
so far forth as	2
deprived of all good	2
am poor and needy	2
of the hearts of	2
maketh intercession to thee	2
be called by the	2
but their images only	2
they are urged by	2
the treasures of wisdom	2
will show us good	2
my bonds in sunder	2
is called heaven and	2
i am thy servant	2
but our god is	2
all the treasures of	2
didst deal with me	2
that i may love	2
the voices of thy	2
shalt light my candle	2
they could by no	2
the light of thy	2
of him that created	2
creature that hath life	2
was the cause of	2
from the din of	2
and more cleared to	2
good to take pleasure	2
yet not so as	2
and it seemed to	2
therewith to be content	2
thou art ever the	2
and the spirit against	2
satisfy my desire with	2
that that which thou	2
things themselves which are	2
but neither do we	2
perceived by the senses	2
things of god knoweth	2
friend of the bridegroom	2
sight on all sides	2
which draws to them	2
i will not therefore	2
out of which was	2
art the only true	2
with the senses of	2
him that eateth not	2
but i had not	2
and they fall not	2
creator of all times	2
there were nothing for	2
cup of cold water	2
the spirit of a	2
thou art the same	2
day come wherein i	2
the depth of thy	2
god knoweth no one	2
of which i have	2
of mine which is	2
christ i beseech thee	2
in the love of	2
is what i conceive	2
thing that thou hadst	2
be preferred to the	2
and confess unto thy	2
which is above our	2
i perceived that they	2
that wisdom which is	2
the lord thy god	2
betwixt the day and	2
that it was good	2
what i yet am	2
foretelling things to come	2
for he might have	2
and the joy of	2
other parts of the	2
he went on with	2
with the words which	2
the same time he	2
is it rightly said	2
helper and my redeemer	2
which before was not	2
not been faithful in	2
which thou madest not	2
was not yet able	2
for my own sake	2
and strength of the	2
thou teachest is to	2
mercy on whom thou	2
and we know not	2
i remember to have	2
pleasures of the flesh	2
to believe thee to	2
of the law and	2
whom thou commandest me	2
give thanks to thee	2
have twice so much	2
to give birth to	2
hast given unto us	2
times as they pass	2
dry land may appear	2
the spiritual and corporeal	2
there might be some	2
in the bitterness of	2
by our mother charity	2
she returns to thee	2
that it cannot be	2
against the law of	2
without mention of days	2
are urged by their	2
the formless matter of	2
so far as i	2
let not my soul	2
the tides of my	2
by whom all things	2
my sight on all	2
him he is jealous	2
know not what time	2
of the mouth of	2
the doctrine of piety	2
that we may be	2
have told me of	2
spirit against the flesh	2
the bitterness of the	2
him should be conveyed	2
by the force of	2
with the images of	2
years which fail not	2
i could not discern	2
itself is not that	2
let man be made	2
was to me a	2
and this hast thou	2
to read and write	2
willedst that i should	2
sparedst not thine only	2
that he would not	2
is the kingdom of	2
and the earth was	2
of men when thou	2
the valley of tears	2
desire with good things	2
name of a prophet	2
and yet i measure	2
for us to thee	2
with the same confidence	2
that man of thine	2
that thou madest heaven	2
the order of thy	2
to him that made	2
had never done it	2
in the very purest	2
life of my soul	2
lighteth every man that	2
and how thou hast	2
that the dry land	2
to be made sad	2
ashamed not to be	2
one thing in the	2
the flesh lusteth against	2
to be what they	2
so as to make	2
god made the heaven	2
that in the beginning	2
he should go to	2
heart of thy servant	2
to thee is nothing	2
depth of thy counsels	2
he seemed to me	2
than as being borne	2
what did god before	2
a dispenser of thy	2
of my heart and	2
that is not yet	2
it is not there	2
we were fain to	2
the eye of flesh	2
not thine only son	2
felt that i was	2
it was no more	2
and most merciful hand	2
that thou hadst made	2
of my inmost soul	2
and it was made	2
and this could not	2
east to east again	2
thou shalt have treasure	2
on whom thou hast	2
spaces of the verses	2
as if there were	2
between water and water	2
with whom i did	2
out of those words	2
so as to become	2
the things of god	2
grow sweet unto me	2
what did it profit	2
in the books of	2
and from that moment	2
we find no time	2
for i felt that	2
and in no part	2
shall see him as	2
of thy just judgment	2
these things i then	2
the more did i	2
cry out against me	2
hear from thee of	2
from the power of	2
retained in the memory	2
with all his heart	2
and it answered me	2
to be freed of	2
meet that the knowledge	2
these things with the	2
who canst not be	2
well skilled in those	2
by the same word	2
in me what thou	2
do the heaven and	2
what should we more	2
shall i say that	2
for he would not	2
me out of all	2
the image of god	2
not yet able to	2
the eclipses of the	2
and was not ashamed	2
which thou madest was	2
and i saw that	2
where is that heaven	2
in the liberal sciences	2
so soon as she	2
in time to come	2
and no mutable thing	2
if they were asked	2
i call thee to	2
is far from me	2
to them that believe	2
come to a close	2
how long time since	2
of cold water to	2
why do ye love	2
be far from me	2
to the catholic faith	2
didst use for my	2
not belong to the	2
thy sight clear unto	2
could not speak unto	2
gathering together of the	2
i have learned in	2
when i read the	2
those which are not	2
parts of the world	2
the moving creature that	2
nor of the will	2
to have in common	2
of myself i remember	2
then is not the	2
about with every wind	2
not what time is	2
hast broken my bonds	2
the man christ jesus	2
i knew not what	2
ye sons of men	2
that he who was	2
thou madest the heaven	2
had now begun to	2
knowledge of these things	2
and earth were to	2
in the land of	2
when i was seeking	2
is the happy life	2
for he is not	2
so soon as he	2
ye to and fro	2
that thy word was	2
when i should will	2
mercy endureth for ever	2
that through it i	2
one hour comes to	2
said in the plural	2
the cause that they	2
gave notice to the	2
the word of god	2
not what i have	2
i should say that	2
me in my inner	2
that aught should be	2
i shall stand in	2
i remember myself to	2
to which i was	2
are far more certain	2
thou didst deal with	2
hast told me also	2
forgetfulness is retained by	2
there is no place	2
nor are they the	2
art the creator of	2
if i spake the	2
i am not he	2
to what i am	2
know all at once	2
that the motion of	2
do all things through	2
the children of the	2
affirm that to be	2
which there was no	2
right hand upheld me	2
called the lust of	2
words of thy book	2
that my nineteenth year	2
more cleared to me	2
health of my countenance	2
those things which the	2
the morning i shall	2
shall no more be	2
recognise what i name	2
thy grace i ascribe	2
meaning of thy servant	2
doth it prejudice me	2
even to those that	2
of which was to	2
all that i am	2
offer unto thee the	2
now light in the	2
be signified by the	2
didst thou make the	2
if they shall be	2
wouldest not suffer me	2
which now are not	2
this i learned without	2
seek their own places	2
to repose in what	2
let it be made	2
they could not be	2
particle of thy creation	2
doubt that there was	2
for he was not	2
and the nature of	2
didst thou out of	2
i have gone over	2
i have not forgotten	2
i did not see	2
to believe god to	2
what am i to	2
that they flourished again	2
that speaketh a lie	2
a particle of thy	2
the floods of mine	2
i was grieved that	2
separated me from the	2
out of the earth	2
far be it that	2
i read not there	2
of such as are	2
lord of heaven and	2
dost thou see in	2
my god and lord	2
the work of thy	2
a young man of	2
thy mercy endureth for	2
spaces of the feet	2
thou not in me	2
had at that time	2
could not be at	2
for as he was	2
under the firmament of	2
more than the creator	2
which the lord hath	2
release from the flesh	2
it should not be	2
thou shalt light my	2
so long therefore as	2
moving creature that hath	2
and i knew not	2
knew not what to	2
or even if as	2
from the body of	2
mutable thing is eternal	2
stand in thy presence	2
is the life of	2
that he might be	2
i shall say to	2
not my soul be	2
difference there is betwixt	2
and if nothing were	2
my desire with good	2
is present with me	2
was on fire to	2
nor can it be	2
unto thee the sacrifice	2
no mutable thing is	2
things of a man	2
was comprehended under those	2
whatsoever state i am	2
things of this kind	2
and crown me with	2
now was the day	2
at the end of	2
to those things which	2
watered the ground under	2
remember myself to have	2
we know not whether	2
and givest grace to	2
for i could not	2
but i could not	2
the motion of the	2
know not whether out	2
out of thy law	2
my feet out of	2
the fowls that fly	2
seemed to me a	2
whether out of a	2
whence is this monstrousness	2
in that sixteenth year	2
the mouth of god	2
what we were doing	2
take up and read	2
is not so wonderful	2
over all the earth	2
into a far country	2
to be clothed upon	2
out of a pure	2
which is not yet	2
my very inmost soul	2
i could not know	2
that the knowledge of	2
have not as yet	2
and thou shalt have	2
measure the motion of	2
which we see not	2
a cup of cold	2
there was no time	2
things of this world	2
the spirit of truth	2
wallowed in the mire	2
that i was now	2
through jesus christ our	2
what is it that	2
it was that i	2
tells me in my	2
the delights of the	2
was grieved that i	2
else is it to	2
of a new life	2
the authority of the	2
i could not speak	2
matter of heaven and	2
be able to do	2
conformed to this world	2
for those first lessons	2
world was made by	2
was to be preferred	2
then do i seek	2
from the lust of	2
images of the things	2
to be sorrowed for	2
and let them say	2
who made these things	2
up in thy discipline	2
nor would i be	2
that i may find	2
can be continent unless	2
tossed up and down	2
out of that which	2
i then knew not	2
was in such wise	2
it came to pass	2
knoweth the things of	2
things to come are	2
not the image of	2
the invisible and visible	2
the same holds in	2
what could be long	2
should dawn upon me	2
for the steps of	2
or if not my	2
light that lighteth every	2
which is to be	2
i desire to know	2
let me not be	2
o ye sons of	2
deprived of all form	2
had for many years	2
sweetness of thy grace	2
let him confess unto	2
the fishes of the	2
be it that thou	2
and say unto my	2
from the love of	2
the waters brought forth	2
it could not be	2
the beasts of the	2
see him as he	2
not only our souls	2
which is in it	2
givest grace to the	2
in the chamber of	2
have treasure in heaven	2
had stuck fast in	2
but now light in	2
sight clear unto me	2
how hast thou loved	2
it shall not be	2
far be it from	2
to the firmament of	2
unless it had been	2
the sight of my	2
and therefore do i	2
who were to be	2
suffer me to speak	2
but now when i	2
not the true joy	2
because he is meek	2
of the things which	2
as it was not	2
in the heart of	2
and so it shall	2
and how far from	2
of the greater lights	2
shine upon the earth	2
me what thou teachest	2
and this is the	2
still a formless and	2
what i knew not	2
on which side is	2
in memory of the	2
the sounds are other	2
the coming of this	2
jesus christ our lord	2
