adverb	frequency
sovereignly	2
sooner	2
sometime	2
soberly	2
silently	2
seasonably	2
save	2
satisfactorily	2
reverently	2
religiously	2
really	2
quite	2
purely	2
privately	2
partly	2
otherwhere	2
ordinarily	2
open	2
obscurely	2
next	2
nearer	2
modestly	2
mentally	2
meantime	2
lovingly	2
later	2
last	2
kind	2
inward	2
infinite	2
incredibly	2
incorruptibly	2
higher	2
heavenly	2
happily	2
half	2
greedily	2
great	2
gratuitously	2
forwards	2
fixedly	2
finally	2
fiercely	2
fervently	2
fearlessly	2
faster	2
familiarly	2
faintly	2
eminently	2
eloquently	2
downwards	2
doubt	2
diversely	2
distinctly	2
differently	2
devoutly	2
courtly	2
consistently	2
collectively	2
best	2
beside	2
beforehand	2
backward	2
attentively	2
around	2
appeareth	2
anxiously	2
along	2
actually	2
absolutely	2
worse	1
worldly	1
wittingly	1
wholesomely	1
wantonly	1
vouchsafest	1
voluntarily	1
void	1
vocally	1
variously	1
usury	1
usually	1
usefully	1
urgently	1
upborne	1
unutterably	1
untruly	1
unsuitably	1
unshakenly	1
unrulily	1
unpleasantly	1
unknowingly	1
universally	1
unhappily	1
ungodlily	1
unfriendly	1
unfailingly	1
unexpectedly	1
unconsciously	1
unbeseemingly	1
unawares	1
tumultuously	1
thunderest	1
thriven	1
thirsteth	1
thirdly	1
terribly	1
tenderly	1
temporately	1
tempestuously	1
sweeter	1
surpassingly	1
superfluously	1
sumptuously	1
suitably	1
sufficiently	1
sufferest	1
sudden	1
successively	1
sublimely	1
studiously	1
strangely	1
stiffly	1
sportively	1
sorely	1
somewhere	1
softly	1
sleepest	1
singularly	1
sincerely	1
silent	1
sigh	1
sickly	1
shortly	1
short	1
sharply	1
severely	1
sensibly	1
seeketh	1
securely	1
scornfully	1
sawest	1
rudely	1
rigidly	1
restlessly	1
resolutely	1
remaineth	1
remainest	1
relaxedly	1
regardless	1
recently	1
readest	1
quicker	1
profoundly	1
prior	1
principally	1
presseth	1
precisely	1
plentifully	1
pleasantly	1
piecemeal	1
petulantly	1
personally	1
perfectly	1
penally	1
peculiarly	1
peacefully	1
passionately	1
own	1
overhastily	1
orally	1
oftentimes	1
obediently	1
nowhere	1
necessarily	1
neatly	1
naturally	1
narrowly	1
mystically	1
mysteriously	1
mutually	1
mildly	1
merrily	1
meanly	1
matter	1
manfully	1
maliciously	1
mainly	1
madly	1
lowlily	1
loudly	1
live	1
literally	1
lifter	1
least	1
largely	1
kindly	1
joyously	1
jointly	1
intimately	1
intensely	1
insultingly	1
inspirest	1
insolently	1
insensibly	1
innumerably	1
infinitely	1
inevitably	1
indefinitely	1
incongruously	1
inappropriately	1
impudently	1
improperly	1
impostumes	1
impatiently	1
immovably	1
immortally	1
hurriedly	1
hotly	1
honestly	1
highly	1
hereby	1
henceforth	1
heavily	1
hearest	1
hast	1
harmoniously	1
haply	1
gradually	1
ghastly	1
genuinely	1
generally	1
gavest	1
furthermore	1
fruitlessly	1
fruitfully	1
frequently	1
fourthly	1
foully	1
foul	1
fore	1
forcibly	1
for	1
foolishly	1
fluently	1
fillest	1
figuratively	1
fearfully	1
fatherly	1
farther	1
false	1
faithfully	1
fairly	1
fairest	1
fairer	1
extremely	1
exquisitely	1
evidently	1
everywhere	1
every	1
everlastingly	1
evenly	1
erst	1
ere	1
equably	1
enquiringly	1
endlessly	1
durst	1
dully	1
downward	1
doubtless	1
doth	1
diversly	1
distractedly	1
discreetly	1
dieth	1
deservedly	1
definitely	1
deeper	1
deadly	1
darksomely	1
curiously	1
crookedly	1
courteously	1
corruptly	1
conventionally	1
convenient	1
contrary	1
continently	1
constantly	1
conformably	1
confidentially	1
concludeth	1
compendiously	1
commonly	1
chastely	1
cementest	1
carelessly	1
carefully	1
calmly	1
but	1
bold	1
blessedly	1
awhile	1
audaciously	1
atrociously	1
assuredly	1
assiduously	1
ardently	1
aptly	1
apparently	1
answerably	1
alternately	1
allegorically	1
alike	1
afterward	1
affirm	1
acceptably	1
absurdly	1
abideth	1
abandonedly	1
