identifier	question
homer-iliad_14	Ulysses looked fiercely at him and said,"Son of Atreus, what are you talking about?
homer-iliad_14	What if one of the ever- living gods should see us sleeping together, and tell the others?
homer-iliad_14	Would you have us enjoy one another here on the top of Mount Ida, where everything can be seen?
homer-odyssey_21	"You country louts,"said he,"silly simpletons; why should you add to the sorrows of your mistress by crying in this way?
homer-odyssey_21	Are you out of your wits?
homer-odyssey_21	Say which you are disposed to do — to side with the suitors, or with Ulysses?"
homer-odyssey_21	Shall, then, this bow take the life of many a chief among us, merely because you can not bend it yourself?
homer-odyssey_21	Then he took his seat again on the seat from which he had risen; and Antinous rebuked him saying:"Leiodes, what are you talking about?
homer-odyssey_21	Today is the feast of Apollo throughout all the land; who can string a bow on such a day as this?
homer-odyssey_21	What manner of men would you be to stand by Ulysses, if some god should bring him back here all of a sudden?
homer-odyssey_21	Why then should you mind if men talk as you think they will?
homer-odyssey_21	You know this as well as I do; what need have I to speak in praise of my mother?
homer-odyssey_20	"Who, Swineherd,"said he,"is this stranger that is lately come here?
homer-odyssey_20	Am I not a goddess, and have I not protected you throughout in all your troubles?
homer-odyssey_20	Are you still here, stranger,"said he,"to pester people by begging about the house?
homer-odyssey_20	Is he one of your men?
homer-odyssey_20	Theoclymenus saw this and said,"Unhappy men, what is it that ails you?
homer-odyssey_20	What is his family?
homer-odyssey_20	Where does he come from?
homer-odyssey_20	Why can you not go elsewhere?
homer-odyssey_20	You beg without any sense of decency: are there not feasts elsewhere among the Achaeans, as well as here?"
homer-odyssey_09	Are you traders, or do you sail the sea as rovers, with your hands against every man, and every man''s hand against you?''
homer-odyssey_09	Surely no man is carrying off your sheep?
homer-odyssey_09	Surely no man is trying to kill you either by fraud or by force?''
homer-odyssey_09	Talk to me, indeed, about fearing the gods or shunning their anger?
homer-odyssey_09	Was it round the point, or is she lying straight off the land?''
homer-odyssey_09	When he had got through with all his work, he lit the fire, and then caught sight of us, whereon he said:"''Strangers, who are you?
homer-odyssey_09	Where do sail from?
homer-odyssey_09	You ought to be ashamed of yourself; how can you expect people to come see you any more if you treat them in this way?''
homer-odyssey_09	You wretch, eat up your visitors in your own house?
homer-odyssey_10	"And I answered,''Circe, how can you expect me to be friendly with you when you have just been turning all my men into pigs?
homer-odyssey_10	How can it be that my drugs have no power to charm you?
homer-odyssey_10	Is it that you are still suspicious?
homer-odyssey_10	She passed through the midst of us without our knowing it, for who can see the comings and goings of a god, if the god does not wish to be seen?
homer-odyssey_10	They were astounded when they saw us and said,''Ulysses, what brings you here?
homer-odyssey_10	What god has been ill- treating you?
homer-odyssey_10	You surely do not fancy that you can set them free?
homer-odyssey_10	from what place and people have you come?
homer-iliad_16	"Shame on you, where are you flying to?
homer-iliad_16	Achilles was deeply moved and answered,"What, noble Patroclus, are you saying?
homer-iliad_16	And Juno answered,"Most dread son of Saturn, what is this that you are saying?
homer-iliad_16	Dead though he was, Hector still spoke to him saying,"Patroclus, why should you thus foretell my doom?
homer-iliad_16	Have you anything to say to the Myrmidons or to myself?
homer-iliad_16	Who in future story will speak well of you unless you now save the Argives from ruin?
homer-iliad_16	Who knows but Achilles, son of lovely Thetis, may be smitten by my spear and die before me?"
homer-iliad_16	Who then first, and who last, was slain by you, O Patroclus, when the gods had now called you to meet your doom?
homer-iliad_16	Would you snatch a mortal man, whose doom has long been fated, out of the jaws of death?
homer-iliad_16	or have you had news from Phthia which you alone know?
homer-iliad_11	"Hero Eurypylus,"replied the brave son of Menoetius,"how may these things be?
homer-iliad_11	Alas,"said he to himself in his dismay,"what will become of me?
homer-iliad_11	And Nestor answered,"Why should Achilles care to know how many of the Achaeans may be wounded?
homer-iliad_11	But why talk to myself in this way?
homer-iliad_11	My good friend, did not Menoetius charge you thus, on the day when he sent you from Phthia to Agamemnon?
homer-iliad_11	Say, noble Eurypylus, will the Achaeans be able to hold great Hector in check, or will they fall now before his spear?"
homer-iliad_11	Tell me now ye Muses that dwell in the mansions of Olympus, who, whether of the Trojans or of their allies, was first to face Agamemnon?
homer-iliad_11	What can I do?
homer-iliad_11	What do you want with me?"
homer-iliad_11	What, then is the full tale of those whom Hector son of Priam killed in the hour of triumph which Jove then vouchsafed him?
homer-iliad_11	Why,"said he,"Achilles, do you call me?
homer-iliad_11	Will he wait till the ships, do what we may, are in a blaze, and we perish one upon the other?
homer-odyssey_03	"But how, Mentor,"replied Telemachus,"dare I go up to Nestor, and how am I to address him?
homer-odyssey_03	And how came false Aegisthus to kill so far better a man than himself?
homer-odyssey_03	Are you traders?
homer-odyssey_03	But we suffered much more than this; what mortal tongue indeed could tell the whole story?
homer-odyssey_03	Do you submit to this tamely, or are public feeling and the voice of heaven against you?
homer-odyssey_03	On this Minerva said,"Telemachus, what are you talking about?
homer-odyssey_03	Tell me, therefore, Nestor, and tell me true; how did Agamemnon come to die in that way?
homer-odyssey_03	Was Menelaus away from Achaean Argos, voyaging elsewhither among mankind, that Aegisthus took heart and killed Agamemnon?"
homer-odyssey_03	What was Menelaus doing?
homer-odyssey_03	Who knows but what Ulysses may come back after all, and pay these scoundrels in full, either single- handed or with a force of Achaeans behind him?
homer-odyssey_03	Who, then, sir strangers, are you, and from what port have you sailed?
homer-odyssey_03	or do you sail the seas as rovers with your hand against every man, and every man''s hand against you?"
homer-odyssey_16	"What is the news of the town?
homer-odyssey_16	And Ulysses said,"I am no god, why should you take me for one?
homer-odyssey_16	Are you some one or other of the gods that live in heaven?
homer-odyssey_16	Have the suitors returned, or are they still waiting over yonder, to take me on my way home?"
homer-odyssey_16	How can I take this stranger into my house?
homer-odyssey_16	Madman, why should you try to compass the death of Telemachus, and take no heed of suppliants, whose witness is Jove himself?
homer-odyssey_16	May you not complain of your brothers — for it is to these that a man may look for support, however great his quarrel may be?
homer-odyssey_16	Of what nation did they declare themselves to be — for you can not have come by land?"
homer-odyssey_16	Tell me, do you submit to such treatment tamely, or has some god set your people against you?
homer-odyssey_18	"Poor wretch,"said she,"are you gone clean out of your mind?
homer-odyssey_18	Are you not ashamed of opening your mouth before your betters — so many of them too?
homer-odyssey_18	Can you build a stone fence, or plant trees?
homer-odyssey_18	Can you not carry your meat and your liquor decently?
homer-odyssey_18	Do you not see that they are all giving me the wink, and wanting me to turn you out by force, only I do not like to do so?
homer-odyssey_18	Has the wine been getting into your head or do you always babble in this way?
homer-odyssey_18	Has the wine been getting into your head, or do you always babble in this way?
homer-odyssey_18	On this Telemachus came forward and said,"Sirs, are you mad?
homer-odyssey_18	Then turning to Ulysses he said,"Stranger, will you work as a servant, if I send you to the wolds and see that you are well paid?
homer-odyssey_18	What is all this disturbance that has been going on, and how came you to allow a stranger to be so disgracefully ill- treated?
homer-odyssey_18	What would have happened if he had suffered serious injury while a suppliant in our house?
homer-odyssey_18	Will you go, then?
homer-odyssey_13	"Alas,"he exclaimed,"among what manner of people am I fallen?
homer-odyssey_13	"But why,"said Ulysses,"did you not tell him, for you knew all about it?
homer-odyssey_13	Am I on an island, or is this the sea board of some continent?"
homer-odyssey_13	And Jove answered,"What, O Lord of the Earthquake, are you talking about?
homer-odyssey_13	Are they savage and uncivilised or hospitable and humane?
homer-odyssey_13	Did you want him too to go sailing about amid all kinds of hardship while others are eating up his estate?"
homer-odyssey_13	Tell me then truly, have I really got back to my own country?"
homer-odyssey_13	Tell me, then, and tell me truly, what land and country is this?
homer-odyssey_13	Where shall I put all this treasure, and which way shall I go?
homer-odyssey_13	Who are its inhabitants?
homer-iliad_20	"Why,"said he,"wielder of the lightning, have you called the gods in council?
homer-iliad_20	Aeneas,"said he,"why do you stand thus out before the host to fight me?
homer-iliad_20	And Aeneas answered,"Why do you thus bid me fight the proud son of Peleus, when I am in no mind to do so?
homer-iliad_20	Are you considering some matter that concerns the Trojans and Achaeans — for the blaze of battle is on the point of being kindled between them?"
homer-iliad_20	Has he not at all times offered acceptable sacrifice to the gods that dwell in heaven?
homer-iliad_20	Have you forgotten how when you were alone I chased you from your herds helter- skelter down the slopes of Ida?
homer-iliad_20	Is it that you hope to reign over the Trojans in the seat of Priam?
homer-iliad_20	Or have the Trojans been allotting you a demesne of passing richness, fair with orchard lawns and corn lands, if you should slay me?
homer-iliad_20	Why should this man suffer when he is guiltless, to no purpose, and in another''s quarrel?
homer-iliad_20	what marvel am I now beholding?
homer-iliad_18	Alas,"said he to himself in the heaviness of his heart,"why are the Achaeans again scouring the plain and flocking towards the ships?
homer-iliad_18	And Achilles said,"Iris, which of the gods was it that sent you to me?"
homer-iliad_18	And Juno answered,"Dread son of Saturn, why should you say this thing?
homer-iliad_18	Have you not had enough of being cooped up behind walls?
homer-iliad_18	His mother went up to him as he lay groaning; she laid her hand upon his head and spoke piteously, saying,"My son, why are you thus weeping?
homer-iliad_18	May not a man though he be only mortal and knows less than we do, do what he can for another person?
homer-iliad_18	Then fleet Achilles answered her saying,"How can I go up into the battle?
homer-iliad_18	What is there for me?
homer-iliad_18	What sorrow has now befallen you?
homer-iliad_01	"Dread son of Saturn,"answered Juno,"what are you talking about?
homer-iliad_01	"Why are you here,"said he,"daughter of aegis- bearing Jove?
homer-iliad_01	Achilles drew a deep sigh and said,"You know it; why tell you what you know well already?
homer-iliad_01	And Achilles answered,"Most noble son of Atreus, covetous beyond all mankind, how shall the Achaeans find you another prize?
homer-iliad_01	And which of the gods was it that set them on to quarrel?
homer-iliad_01	Are you to keep your own prize, while I sit tamely under my loss and give up the girl at your bidding?
homer-iliad_01	Granted that the gods have made him a great warrior, have they also given him the right to speak with railing?"
homer-iliad_01	I?
homer-iliad_01	Pry and ask questions?
homer-iliad_01	To see the pride of Agamemnon, son of Atreus?
homer-iliad_01	Trickster,"she cried,"which of the gods have you been taking into your counsels now?
homer-iliad_01	Was it not heaven that made you so?
homer-iliad_01	What is it that grieves you?
homer-iliad_01	What though you be brave?
homer-iliad_01	With what heart can any of the Achaeans do your bidding, either on foray or in open fighting?
homer-iliad_08	"Son of Tydeus,"replied Nestor,"what mean you?
homer-iliad_08	"Ulysses,"he cried,"noble son of Laertes where are you flying to, with your back turned like a coward?
homer-iliad_08	Are you fatigued with killing so many of your dear friends the Trojans?
homer-iliad_08	Are you mad?
homer-iliad_08	Can you find no compassion in your heart for the dying Danaans, who bring you many a welcome offering to Helice and to Aegae?
homer-iliad_08	Father Jove, did you ever so ruin a great king and rob him so utterly of his greatness?
homer-iliad_08	King Neptune was greatly troubled and answered,"Juno, rash of tongue, what are you talking about?
homer-iliad_08	Then he was afraid and said to Diomed,"Son of Tydeus, turn your horses in flight; see you not that the hand of Jove is against you?
homer-iliad_08	Then said she to the mighty god of Neptune,"What now, wide ruling lord of the earthquake?
homer-iliad_08	What,"said she,"are you about?
homer-iliad_08	Which of the Trojans did brave Teucer first kill?
homer-odyssey_01	"Is that so?"
homer-odyssey_01	And Jove said,"My child, what are you talking about?
homer-odyssey_01	But tell me, and tell me true, can Ulysses really have such a fine looking fellow for a son?
homer-odyssey_01	But tell me, and tell me true, what is the meaning of all this feasting, and who are these people?
homer-odyssey_01	Has he brought you news about the return of your father, or was he on business of his own?
homer-odyssey_01	Have you some banquet, or is there a wedding in the family — for no one seems to be bringing any provisions of his own?
homer-odyssey_01	How can I forget Ulysses than whom there is no more capable man on earth, nor more liberal in his offerings to the immortal gods that live in heaven?
homer-odyssey_01	Is this the worst fate you can think of for me?
homer-odyssey_01	Of what family is he, and where is his estate?
homer-odyssey_01	Tell me also truly, for I want to know, are you a stranger to this house, or have you been here in my father''s time?
homer-odyssey_01	What country does he come from?
homer-odyssey_01	What is it all about?
homer-odyssey_01	Why then should you keep on being so angry with him?"
homer-odyssey_01	You, sir, take no heed of this, and yet when Ulysses was before Troy did he not propitiate you with many a burnt sacrifice?
homer-iliad_15	And you seem troubled — has your husband the son of Saturn been frightening you?"
homer-iliad_15	Apollo stood beside him and said,"Hector son of Priam, why are you so faint, and why are you here away from the others?
homer-iliad_15	Can we hope to find helpers hereafter, or a wall to shield us more surely than the one we have?
homer-iliad_15	Can you not hear him cheering on his whole host to fire our fleet, and bidding them remember that they are not at a dance but in battle?
homer-iliad_15	Do you not remember how once upon a time I had you hanged?
homer-iliad_15	Do you think, if Hector takes them, that you will be able to get home by land?
homer-iliad_15	Has any mishap befallen you?"
homer-iliad_15	He then with all sincerity and goodwill addressed them thus:"What, in heaven''s name, do I now see?
homer-iliad_15	Hector in a weak voice answered,"And which, kind sir, of the gods are you, who now ask me thus?
homer-iliad_15	Hector now rebuked him and said,"Why, Melanippus, are we thus remiss?
homer-iliad_15	Iris fleet as the wind then answered,"Am I really, Neptune, to take this daring and unyielding message to Jove, or will you reconsider your answer?
homer-iliad_15	Is it not Hector come to life again?
homer-iliad_15	Juno,"said she,"why are you here?
homer-iliad_15	do you take no note of the death of your kinsman, and do you not see how they are trying to take Dolops''s armour?
homer-odyssey_17	"What do you mean, Telemachus,"replied Antinous,"by this swaggering talk?
homer-odyssey_17	"You precious idiot,"he cried,"what have you brought this man to town for?
homer-odyssey_17	Do you think it a small thing that such people gather here to waste your master''s property — and must you needs bring this man as well?"
homer-odyssey_17	Have we not tramps and beggars enough already to pester us as we sit at meat?
homer-odyssey_17	Is he afraid that some one will ill- treat him, or is he shy of coming inside the house at all?
homer-odyssey_17	Penelope laughed when she heard this, and said to Eumaeus,"Go and call the stranger; did you not hear how my son sneezed just as I was speaking?
homer-odyssey_17	The swineherd went back when he heard this, and Penelope said as she saw him cross the threshold,"Why do you not bring him here, Eumaeus?
homer-odyssey_17	Then Antinous said,"What god can have sent such a pestilence to plague us during our dinner?
homer-odyssey_17	Then Melanthius the goatherd answered,"You ill conditioned cur, what are you talking about?
homer-odyssey_17	Where, pray, master swineherd, are you taking this poor miserable object?
homer-odyssey_17	Why should you want to see this stranger turned out of the house?
homer-odyssey_17	Will you go inside first and join the suitors, leaving me here behind you, or will you wait here and let me go in first?
homer-odyssey_24	"Amphimedon,"it said,"what has happened to all you fine young men — all of an age too — that you are come down here under the ground?
homer-odyssey_24	And Jove answered,"My child, why should you ask me?
homer-odyssey_24	But as for me, what solace had I when the days of my fighting were done?
homer-odyssey_24	But tell me, and tell me true, how many years is it since you entertained this guest — my unhappy son, as ever was?
homer-odyssey_24	But tell me, does Penelope already know of your return, or shall we send some one to tell her?"
homer-odyssey_24	Do you not remember how I came to your house with Menelaus, to persuade Ulysses to join us with his ships against Troy?
homer-odyssey_24	Is this place that I have come to really Ithaca?
homer-odyssey_24	Or were you a passenger on some other man''s ship, and those who brought you here have gone on their way and left you?"
homer-odyssey_24	Then Minerva said to Jove,"Father, son of Saturn, king of kings, answer me this question — What do you propose to do?
homer-odyssey_24	Was it not by your own arrangement that Ulysses came home and took his revenge upon the suitors?
homer-odyssey_24	Where is the ship lying that has brought you and your men to Ithaca?
homer-odyssey_24	Who and whence are you — tell me of your town and parents?
homer-odyssey_24	Will you set them fighting still further, or will you make peace between them?"
homer-iliad_21	"Who and whence are you,"said he,"who dare to face me?
homer-iliad_21	Baby, why keep your bow thus idle?
homer-iliad_21	Bold vixen,"she cried,"how dare you cross me thus?
homer-iliad_21	But why commune with myself in this way?
homer-iliad_21	Could not even the waters of the grey sea imprison him, as they do many another whether he will or no?
homer-iliad_21	Have you forgotten how you set Diomed son of Tydeus on to wound me, and yourself took visible spear and drove it into me to the hurt of my fair body?
homer-iliad_21	I too — see you not how I am great and goodly?
homer-iliad_21	Meanwhile King Neptune turned to Apollo saying,"Phoebus, why should we keep each other at arm''s length?
homer-iliad_21	Then Achilles said to himself in his surprise,"What marvel do I see here?
homer-iliad_21	Then he prayed to Juno and besought her saying,"Juno, why should your son vex my stream with such especial fury?
homer-iliad_21	What have I to do with quarrelling and helping people?"
homer-iliad_21	What, then, if I go out and meet him in front of the city?
homer-iliad_21	Why should you whine in this way?
homer-iliad_21	Why, vixen,"said he,"have you again set the gods by the ears in the pride and haughtiness of your heart?
homer-iliad_24	And Priam said,"Who are you, my friend, and who are your parents, that you speak so truly about the fate of my unhappy son?"
homer-iliad_24	And Thetis answered,"Why does the mighty god so bid me?
homer-iliad_24	And now tell me and tell me true, for how many days would you celebrate the funeral rites of noble Hector?
homer-iliad_24	Are you not afraid of the fierce Achaeans who are hard by you, so cruel and relentless?
homer-iliad_24	Did not Hector burn you thigh- bones of heifers and of unblemished goats?
