noun	frequency
vitality	8
vial	8
vertebr	8
traditions	8
tooth	8
tongs	8
toil	8
throne	8
thither	8
telling	8
tar	8
talk	8
taffrail	8
sunset	8
sum	8
storms	8
squares	8
spread	8
spears	8
spar	8
sounds	8
soil	8
silver	8
sideways	8
shoals	8
shoal	8
seasons	8
seals	8
schools	8
rushing	8
run	8
revenge	8
respects	8
remotest	8
pride	8
post	8
porpoise	8
plane	8
plain	8
pipes	8
phantoms	8
panic	8
page	8
organ	8
operation	8
office	8
obedience	8
musket	8
moon	8
mention	8
meeting	8
masses	8
marvels	8
leviathans	8
landsmen	8
landsman	8
lady	8
knees	8
joke	8
intention	8
intensity	8
instinct	8
hurry	8
hundreds	8
hum	8
howling	8
houses	8
horns	8
helmsman	8
hell	8
heel	8
hearse	8
handle	8
hail	8
gunwales	8
grandeur	8
fountain	8
forge	8
fields	8
fellows	8
entry	8
east	8
dreams	8
doubt	8
doors	8
despair	8
cup	8
contrivances	8
consideration	8
comrade	8
cloth	8
chowder	8
cheese	8
chair	8
canoes	8
bubbles	8
brit	8
brains	8
bowsprit	8
bowsman	8
boom	8
blades	8
blade	8
bill	8
bellies	8
beer	8
beauty	8
band	8
balls	8
baleen	8
authority	8
author	8
archangel	8
anguish	8
agent	8
worlds	7
wings	7
whip	7
whalebone	7
voices	7
vicissitudes	7
verdure	7
veil	7
trumpet	7
trouble	7
trades	7
tons	7
title	7
timber	7
threads	7
thou	7
thickness	7
thence	7
tablets	7
swell	7
sweep	7
structure	7
strangers	7
stories	7
steersman	7
steering	7
steelkilt	7
spoutings	7
spermaceti	7
spectacle	7
socket	7
smell	7
slide	7
sleet	7
sin	7
signal	7
shuttle	7
shrouds	7
shot	7
shores	7
shoe	7
sheet	7
shavings	7
shame	7
seams	7
screw	7
safety	7
running	7
religion	7
reel	7
reality	7
questions	7
quality	7
purse	7
property	7
problem	7
privilege	7
ports	7
porpoises	7
pockets	7
plates	7
plate	7
pivot	7
pit	7
pirates	7
pillow	7
peep	7
peculiarity	7
paper	7
oath	7
nostrils	7
north	7
necessity	7
nails	7
murderer	7
moonlight	7
mizen	7
millions	7
maul	7
match	7
loom	7
lock	7
lion	7
lights	7
lbs	7
layer	7
keels	7
intelligence	7
insult	7
indifference	7
i.	7
hist	7
harm	7
harbor	7
gun	7
grief	7
glances	7
girls	7
ghosts	7
future	7
frost	7
flash	7
flanks	7
fiend	7
feeding	7
feeder	7
fatality	7
fare	7
fancy	7
facts	7
existence	7
everybody	7
equator	7
energy	7
elements	7
edge	7
eagerness	7
dream	7
drawers	7
doubloons	7
dollars	7
desire	7
description	7
den	7
delicacy	7
daylight	7
danger	7
custom	7
currents	7
creation	7
cords	7
copper	7
contents	7
congregation	7
colt	7
coasts	7
chimney	7
cheeks	7
cheek	7
charts	7
chapters	7
chances	7
carpet	7
cap	7
candle	7
cable	7
bye	7
burden	7
bunch	7
brute	7
breaths	7
breast	7
breakers	7
bowl	7
bosom	7
blue	7
blocks	7
black	7
bearing	7
baby	7
attitude	7
attack	7
argument	7
angle	7
anchors	7
allusions	7
alarm	7
yourselves	6
yarn	6
wrists	6
wrist	6
wrath	6
worship	6
whiskers	6
wherefore	6
wheel	6
wedding	6
wakes	6
waif	6
violence	6
village	6
veins	6
usages	6
universe	6
tube	6
truck	6
tone	6
toes	6
tobacco	6
tiger	6
tides	6
third	6
thinking	6
thigh	6
tails	6
symptoms	6
swiftness	6
surgeon	6
superiority	6
sunlight	6
suit	6
subjects	6
string	6
stretch	6
steam	6
stand	6
staff	6
spires	6
spiracle	6
soundings	6
song	6
sleepers	6
skulls	6
sister	6
sinking	6
significance	6
shrieks	6
shreds	6
shoes	6
shades	6
shade	6
serenity	6
secrets	6
secret	6
search	6
scud	6
science	6
schoolmaster	6
rowing	6
rolls	6
river	6
reveries	6
resurrection	6
resemblance	6
reply	6
relief	6
reflection	6
record	6
rays	6
quadrant	6
pyramid	6
pump	6
puff	6
probability	6
priest	6
presence	6
prayers	6
powers	6
plaintiffs	6
pistol	6
pin	6
pig	6
persons	6
pen	6
passion	6
passenger	6
pans	6
pallor	6
owner	6
out	6
onset	6
numbers	6
nail	6
mothers	6
month	6
mistake	6
mile	6
mid	6
meadow	6
material	6
masonry	6
market	6
margin	6
management	6
mainmast	6
magic	6
lowering	6
longitude	6
locks	6
links	6
limb	6
likeness	6
laws	6
language	6
lands	6
landlady	6
jeopardy	6
intent	6
insanity	6
inn	6
influences	6
infidel	6
importance	6
ideas	6
hemp	6
help	6
heave	6
hearing	6
health	6
headsman	6
hate	6
harem	6
harbors	6
handspikes	6
handful	6
hammers	6
girl	6
generations	6
garden	6
gangway	6
fun	6
fright	6
foes	6
fluke	6
fluid	6
fit	6
fisherman	6
firm	6
figures	6
fibres	6
feelings	6
feat	6
fears	6
fain	6
excitement	6
eternity	6
entrance	6
engravings	6
emotions	6
dumplings	6
doubts	6
dogs	6
destruction	6
desert	6
deed	6
dead	6
dawn	6
dark	6
cruising	6
crow''s	6
crow	6
courses	6
counterpane	6
corpusants	6
considerations	6
consequence	6
consciousness	6
confidence	6
conduct	6
condition	6
conclusion	6
complexion	6
comparison	6
commerce	6
comfort	6
coffee	6
coal	6
clam	6
circumference	6
churches	6
chocks	6
chief	6
chat	6
chart	6
ceiling	6
caw	6
cattle	6
cash	6
carcase	6
canallers	6
bubble	6
braces	6
bolts	6
bidding	6
bell	6
bears	6
astonishment	6
ash	6
application	6
apartment	6
anvil	6
angel	6
amazement	6
ahoy	6
agony	6
affairs	6
advice	6
adventures	6
accidents	6
accident	6
zone	5
yea	5
yarns	5
wives	5
windows	5
wharves	5
week	5
want	5
walk	5
volition	5
visit	5
vision	5
vigilance	5
vibration	5
varieties	5
value	5
valleys	5
uttermost	5
twine	5
twilight	5
twain	5
trick	5
transom	5
transition	5
trance	5
train	5
towns	5
tones	5
tomb	5
tokens	5
timbers	5
tierce	5
thrice	5
thirds	5
theory	5
tent	5
tears	5
tea	5
tattooing	5
tap	5
tables	5
suspicions	5
surf	5
superstitions	5
success	5
style	5
stomach	5
standers	5
squalls	5
splinters	5
spaces	5
source	5
sorrow	5
sons	5
somebody	5
society	5
sneezes	5
slender	5
slabs	5
skeletons	5
situation	5
shuddering	5
shudder	5
shower	5
shipping	5
shelf	5
sheep	5
seal	5
schooner	5
scales	5
salvation	5
rule	5
ruin	5
robes	5
road	5
rings	5
rights	5
revelry	5
region	5
refuge	5
readiness	5
reader	5
queens	5
quarters	5
qualities	5
pursuers	5
punch	5
puffs	5
prospect	5
projecting	5
profile	5
profession	5
process	5
proceedings	5
procedure	5
prints	5
priests	5
potency	5
posture	5
portents	5
pool	5
policy	5
plight	5
plague	5
pitchpoling	5
pickle	5
philosophers	5
phenomenon	5
pewter	5
pencil	5
passengers	5
parties	5
parlor	5
palm	5
pagans	5
paddles	5
orphans	5
opportunity	5
odor	5
odds	5
occasions	5
oakum	5
oak	5
note	5
nearer	5
navies	5
naught	5
native	5
nation	5
mysteries	5
murderers	5
moods	5
miracle	5
mincer	5
mildness	5
meals	5
majesty	5
lot	5
loggerhead	5
list	5
limit	5
lifetime	5
lie	5
leather	5
leader	5
lashing	5
lanterns	5
laborers	5
knot	5
joints	5
jackets	5
items	5
isle	5
inquiry	5
inference	5
infants	5
incident	5
impression	5
imagination	5
identity	5
hulls	5
horrors	5
hieroglyphics	5
heroes	5
hereabouts	5
headsmen	5
hawk	5
hatchway	5
hatchet	5
hatch	5
hanging	5
hairs	5
gush	5
groves	5
grey	5
grace	5
governor	5
glimpses	5
gaze	5
gate	5
gallows	5
gallons	5
furniture	5
fortitude	5
forests	5
flask	5
fits	5
file	5
fiends	5
feature	5
feast	5
fan	5
extent	5
experiences	5
expense	5
exclamation	5
escape	5
errand	5
enemy	5
encounter	5
empire	5
emotion	5
drops	5
draught	5
dragon	5
don''t	5
docks	5
dismay	5
dim	5
dents	5
deliverance	5
delirium	5
degrees	5
definition	5
defendants	5
dash	5
cruise	5
crowd	5
cowards	5
couple	5
coronation	5
corn	5
copy	5
cooper	5
conversation	5
companions	5
companies	5
commanders	5
column	5
colors	5
coins	5
coil	5
coffins	5
cock	5
coals	5
cloud	5
choice	5
chips	5
chip	5
chin	5
cheer	5
charm	5
chaps	5
chapel	5
chain	5
census	5
cedar	5
cavity	5
carpenters	5
caps	5
cannon	5
cane	5
calves	5
calling	5
butt	5
branches	5
brace	5
boxes	5
bolt	5
boiling	5
billiard	5
belt	5
bedfellow	5
beasts	5
beard	5
beams	5
barrel	5
azure	5
axis	5
authorities	5
atmosphere	5
associations	5
assaults	5
aspects	5
article	5
arrival	5
archipelagoes	5
apprehension	5
antiquity	5
animals	5
ambergris	5
allusion	5
adventure	5
advantage	5
absence	5
wrecks	4
wisdom	4
winding	4
wilderness	4
wigwam	4
wight	4
widows	4
whisper	4
wheels	4
weaver	4
wax	4
warrior	4
walrus	4
visits	4
vinegar	4
vertebra	4
velvet	4
vaults	4
vapors	4
valley	4
understanding	4
unctuousness	4
tusks	4
trucks	4
tops	4
tools	4
to	4
timidity	4
tidings	4
thump	4
thumb	4
throat	4
threshold	4
tendons	4
tender	4
tendency	4
tapers	4
tales	4
tale	4
swallow	4
suspicion	4
supposition	4
superstition	4
stun	4
stroll	4
streams	4
store	4
stool	4
stones	4
stocks	4
sticks	4
stick	4
steps	4
steed	4
statements	4
statement	4
star	4
standing	4
stages	4
spouting	4
split	4
splice	4
spikes	4
spectacles	4
sounding	4
socks	4
sleeping	4
skirts	4
sire	4
sinners	4
shout	4
shop	4
shivering	4
shells	4
shell	4
sheath	4
serpents	4
serpent	4
series	4
scraps	4
scores	4
scar	4
saying	4
savor	4
satisfaction	4
rust	4
royal	4
roses	4
rose	4
root	4
rooms	4
rolling	4
roar	4
risk	4
rise	4
rifle	4
riddle	4
reverence	4
retreat	4
result	4
resistance	4
research	4
rescue	4
reputation	4
reptile	4
repose	4
report	4
relics	4
regions	4
reflections	4
redness	4
reach	4
re	4
rain	4
quill	4
proverb	4
protection	4
prospects	4
prophecy	4
promontory	4
progress	4
profundities	4
profoundest	4
profit	4
professor	4
profane	4
principles	4
pressure	4
preacher	4
prayer	4
prairies	4
pounds	4
posterity	4
possibility	4
portrait	4
pods	4
pod	4
plumage	4
philosophy	4
philosopher	4
penny	4
pause	4
patience	4
pasture	4
parchment	4
parcel	4
paintings	4
painting	4
pagoda	4
pages	4
ox	4
ounce	4
organs	4
offing	4
observation	4
oaths	4
notion	4
noses	4
nonsense	4
noiseless	4
negro	4
necks	4
nap	4
muskets	4
musk	4
music	4
muscles	4
murder	4
multitude	4
mowers	4
mould	4
motives	4
mortar	4
monomania	4
moisture	4
mob	4
mischief	4
meridians	4
memories	4
meditation	4
meanings	4
meal	4
luckless	4
locker	4
load	4
liver	4
linen	4
limber	4
lightnings	4
lengths	4
lee	4
leaks	4
larboard	4
lamps	4
kitchen	4
kick	4
keepers	4
junk	4
juncture	4
judge	4
jib	4
item	4
intuitions	4
intricacies	4
interlude	4
inside	4
innocence	4
inhabitants	4
infancy	4
impatience	4
idiot	4
icy	4
iceberg	4
household	4
horrid	4
hopes	4
hooks	4
heed	4
hearties	4
hearses	4
heaps	4
heap	4
headway	4
hay	4
havoc	4
haven	4
hats	4
handkerchief	4
handfuls	4
hams	4
habits	4
guns	4
guests	4
gravity	4
grapes	4
goodness	4
go	4
glories	4
gleams	4
girth	4
gin	4
gills	4
gestures	4
gable	4
fuel	4
frigate	4
frame	4
fountains	4
foundations	4
flowers	4
flip	4
flies	4
flashes	4
fishers	4
fires	4
fidelity	4
fever	4
ferocity	4
fathers	4
fat	4
fall	4
extracts	4
experiment	4
exclamations	4
examples	4
essence	4
enterprise	4
eating	4
earthquake	4
driver	4
drawings	4
doze	4
dolphin	4
doctors	4
dive	4
distinction	4
disasters	4
disaster	4
din	4
dimensions	4
difficulty	4
desk	4
defiance	4
deep	4
daughters	4
damp	4
curses	4
cups	4
cub	4
cruet	4
crowds	4
crowding	4
crosswise	4
critters	4
crater	4
courtesy	4
countries	4
counsel	4
corners	4
cork	4
continent	4
conceits	4
cold	4
coach	4
cluster	4
club	4
clock	4
cliffs	4
clay	4
classification	4
class	4
cistern	4
chorus	4
chicha	4
cheers	4
charity	4
chaos	4
change	4
cetology	4
ceremony	4
cave	4
career	4
can	4
cables	4
butts	4
buttons	4
butchers	4
burtons	4
burial	4
buoyancy	4
bumpkin	4
buckets	4
bride	4
bridal	4
brick	4
branch	4
bottle	4
bony	4
boarding	4
boarders	4
billow	4
benefit	4
belief	4
beaver	4
beast	4
bearer	4
bear	4
bay	4
basket	4
barrow	4
barricade	4
banquet	4
axe	4
avast	4
authors	4
attitudes	4
attempts	4
attempt	4
assault	4
artist	4
arrow	4
armies	4
area	4
approach	4
apple	4
appearances	4
announcement	4
anatomy	4
altar	4
allies	4
ale	4
albatross	4
agencies	4
abundance	4
yoke	3
writers	3
worm	3
woof	3
witness	3
wintry	3
wildness	3
width	3
whosoever	3
whit	3
whirlpool	3
whips	3
whereon	3
whaleboats	3
whaleboat	3
weigh	3
wealth	3
warriors	3
wards	3
wages	3
wad	3
voyagings	3
voyager	3
vow	3
visitors	3
villains	3
villages	3
victor	3
victim	3
vices	3
veteran	3
vesture	3
vest	3
vault	3
variety	3
valor	3
vale	3
vacancy	3
usurpation	3
uprising	3
umbrella	3
twos	3
twelvemonth	3
tun	3
tumult	3
trump	3
tropics	3
triumph	3
tricks	3
tribute	3
tribes	3
trial	3
treatise	3
treasures	3
tread	3
travellers	3
trap	3
tragedy	3
track	3
trace	3
towers	3
toss	3
tornadoes	3
torments	3
topsails	3
tongues	3
ton	3
tiles	3
throbbing	3
threes	3
theme	3
text	3
testimony	3
tents	3
tension	3
tens	3
temple	3
temperate	3
telescope	3
tarpaulins	3
swinging	3
swims	3
swift	3
sweetness	3
sweat	3
supremacy	3
supply	3
superior	3
sunwards	3
suns	3
summary	3
sulk	3
suffering	3
sucking	3
succession	3
subtile	3
substitute	3
sublime	3
sturgeon	3
stubbs	3
strove	3
striking	3
strike	3
straps	3
strangeness	3
strait	3
stop	3
stolidity	3
stillness	3
steamer	3
stays	3
staves	3
statue	3
starry	3
stalk	3
squire	3
springs	3
spots	3
sport	3
spokes	3
spire	3
speechless	3
speech	3
specimens	3
specimen	3
soot	3
solitude	3
soldiers	3
soapstone	3
snugness	3
snap	3
smile	3
small	3
slumbers	3
sleeves	3
sledge	3
skrimshander	3
similitude	3
signals	3
sideboard	3
showers	3
shovel	3
shoots	3
sheaves	3
shears	3
shares	3
share	3
shapes	3
shaft	3
sequel	3
sensation	3
selection	3
seeing	3
security	3
seaport	3
seam	3
scythes	3
sculpture	3
screws	3
scheme	3
scale	3
sap	3
sanity	3
salutation	3
rum	3
royalty	3
royals	3
rover	3
route	3
rounds	3
roots	3
robustness	3
rivers	3
ringleader	3
riggers	3
rigger	3
rig	3
riding	3
ridge	3
rider	3
reward	3
revelation	3
return	3
retribution	3
retreats	3
resort	3
resolution	3
reservoir	3
researches	3
request	3
repugnance	3
repentance	3
repast	3
remark	3
remains	3
remainder	3
relish	3
religions	3
recovery	3
recognition	3
rebellion	3
rat	3
rascal	3
rap	3
ram	3
rainbows	3
rags	3
quietude	3
queen	3
pyramids	3
purposes	3
punishment	3
punchbowl	3
pulse	3
pulling	3
pull	3
pudding	3
psalmody	3
prows	3
prosecution	3
proprietors	3
proportions	3
proportion	3
prophets	3
proof	3
promise	3
progression	3
progeny	3
profits	3
prodigy	3
prodigies	3
processions	3
procession	3
proceeds	3
proceeding	3
prize	3
priority	3
presumption	3
presents	3
preparation	3
prejudices	3
precision	3
pout	3
portions	3
portion	3
population	3
poke	3
poison	3
poets	3
pleasure	3
plaster	3
plantation	3
planets	3
planet	3
pines	3
phrase	3
perplexity	3
periods	3
performances	3
perdition	3
pelt	3
peddler	3
pearl	3
peaks	3
patient	3
pastures	3
particle	3
parson	3
pantry	3
pantaloons	3
palace	3
painter	3
paint	3
pagan	3
packet	3
pack	3
pacing	3
pace	3
oysters	3
oxen	3
outset	3
outline	3
origin	3
orange	3
operations	3
omen	3
occupation	3
oaks	3
o	3
nut	3
nursery	3
notice	3
notes	3
northward	3
nooks	3
neighbors	3
navy	3
naturalist	3
natives	3
mutiny	3
mutineer	3
muteness	3
muscle	3
movements	3
mouthfuls	3
mouthful	3
mouse	3
motive	3
mosses	3
morbidness	3
model	3
mode	3
mishap	3
misgivings	3
misery	3
miseries	3
mirror	3
midway	3
method	3
metal	3
mess	3
merit	3
merchantmen	3
membrane	3
meetings	3
medicine	3
meantime	3
meadows	3
maxim	3
maw	3
mask	3
marling	3
marines	3
marbles	3
mallet	3
malignity	3
males	3
male	3
malady	3
maker	3
make	3
majority	3
maid	3
magnet	3
maelstrom	3
lunacy	3
lumber	3
lucifers	3
lovers	3
longitudes	3
livers	3
leisure	3
lees	3
leaping	3
lays	3
layers	3
lawyers	3
latent	3
lard	3
landscape	3
lakes	3
labyrinth	3
knots	3
kinds	3
kindness	3
kelson	3
journey	3
jot	3
jollies	3
joky	3
joists	3
joes	3
jar	3
issue	3
isolation	3
isinglass	3
inwards	3
interior	3
instrument	3
insertion	3
inscriptions	3
inns	3
innermost	3
inmates	3
injustice	3
infinite	3
industry	3
individuality	3
individual	3
indications	3
implements	3
implement	3
imparts	3
idolator	3
husband	3
hurricane	3
hunting	3
hunks	3
humming	3
humanity	3
human	3
hues	3
hove	3
housings	3
hosts	3
horseman	3
hoofs	3
honey	3
homeward	3
hollows	3
hollow	3
holder	3
historian	3
herring	3
hero	3
hen	3
helmet	3
hearth	3
header	3
hawks	3
haunts	3
harvest	3
hark	3
hamper	3
halyards	3
halls	3
gurgling	3
gull	3
guise	3
guard	3
grove	3
grooves	3
greenness	3
green	3
grating	3
granite	3
grain	3
gorge	3
god	3
goblets	3
goat	3
glare	3
gladness	3
glades	3
gift	3
giants	3
genius	3
gay	3
gasp	3
gash	3
gallery	3
gales	3
gaff	3
furnace	3
furlongs	3
funeral	3
fugitive	3
fruit	3
frock	3
fritters	3
fragments	3
foundation	3
fossils	3
fortunes	3
formations	3
formation	3
forks	3
fork	3
forces	3
forbearance	3
fools	3
folks	3
folds	3
fog	3
flurry	3
flowery	3
float	3
flights	3
fleets	3
fleetness	3
flavor	3
flakes	3
fishes	3
fisheries	3
firmness	3
firmament	3
feathers	3
feather	3
fearfulness	3
favor	3
fault	3
fastening	3
fangs	3
fancies	3
fairy	3
expanse	3
exhaustion	3
exercise	3
excellence	3
evil	3
