trigram	frequency
a whaling voyage	7
over the sea	7
more or less	7
of the present	7
as much as	7
for the moment	7
to moby dick	7
for all the	7
woe to him	7
sort of a	7
side by side	7
it in the	7
middle of the	7
that part of	7
in his boat	7
morning to ye	6
cape of good	6
the cape of	6
the vicinity of	6
each side of	6
the great leviathan	6
and what not	6
soon as i	6
the whale fishery	6
and in that	6
and i am	6
of the ocean	6
i tell you	6
all the world	6
it seemed that	6
of the very	6
along the deck	6
on the line	6
and with that	6
a man of	6
may have been	6
to get a	6
eyes of the	6
the aspect of	6
in the vicinity	6
is not a	6
in advance of	6
it was to	6
it may seem	6
over and over	6
could not be	6
tell me that	6
but a fast	6
but at last	6
whale of the	6
and in a	6
in the great	6
speak of the	6
i am not	6
account of the	6
have mercy on	6
the sound of	6
straits of sunda	6
into the water	6
have heard of	6
across the deck	6
greenland or right	6
but i have	6
of the last	6
it with the	6
this sort of	6
of the living	6
the boats were	6
pointing to the	6
is to him	6
the base of	6
with the most	6
is this the	6
the reason why	6
as the whale	6
ends of the	6
against the wall	6
a dead whale	6
and while the	6
of a whaling	6
those of the	6
is to say	6
as it seemed	6
this matter of	6
may as well	6
how it is	6
look at that	6
and if you	6
further and further	6
a few of	6
for the voyage	6
each other in	6
no sign of	6
by way of	6
so that he	6
seemed to me	6
the other end	6
and there is	6
on the deck	6
i would have	6
turning to the	6
he was now	6
that for the	6
and in this	6
is not the	6
on the whale	6
of a large	6
with his head	6
owners of the	6
would seem to	6
every one of	6
as with the	6
of an old	6
it cannot be	6
of his body	6
so long as	6
up to him	6
and it was	6
only to be	6
and if he	6
that the sperm	6
but what is	6
it turned out	6
hundred and sixty	6
the open sea	6
the same with	6
leaning over the	6
i think i	6
at the base	6
would not be	6
of good hope	6
it might be	6
to see him	6
from the cabin	6
of the harpoon	6
to have a	6
contact with the	6
on the contrary	6
and not a	6
top of his	6
of sight of	6
at such a	6
in a word	6
going to the	6
even as the	6
it is his	6
is not so	6
in new bedford	6
come to the	6
them in the	6
much of a	6
for a long	6
up to his	6
of a sudden	6
thus far had	6
would not have	6
he would not	6
than any other	6
he had a	6
look at him	6
it is an	6
a right whale	6
whale has no	6
the sea and	6
who had been	6
but if you	6
do you see	6
a bit of	6
in the dark	6
is it to	6
the ship is	6
i have no	6
in the year	6
the present case	6
a few minutes	6
of my own	6
at last in	6
white whale had	6
that from the	6
looking over the	6
with the white	6
nor is it	6
connected with the	6
that i have	6
one and the	6
as with a	6
and this is	6
the nature of	6
of the scene	6
think of that	6
it is only	6
with which the	6
all the other	6
in the distance	6
never mind how	6
i did not	6
in the wind	6
do you think	6
that they were	6
not the slightest	6
to one of	6
stern of the	6
the first man	6
is that of	6
up in the	6
ahab did not	6
the three boats	6
with a certain	6
so long a	6
on the quarter	6
out from the	6
look at the	6
that is to	6
and round the	6
of the entire	6
i had been	6
to make the	6
eight or ten	6
it at all	6
the matter of	6
all the rest	6
you may say	6
of the indian	6
the bones of	6
one or two	6
three hundred and	6
the privilege of	6
and so it	6
it is all	5
the centre of	5
was the cry	5
delight is to	5
of the new	5
of a sperm	5
in the face	5
the line in	5
one and all	5
the spare boats	5
most of the	5
that if the	5
one to the	5
of the storm	5
soon as the	5
in the stern	5
the sea as	5
him in his	5
known as the	5
any of the	5
there are some	5
and all this	5
but you must	5
one of their	5
at the present	5
known to me	5
in the soul	5
in the english	5
him by the	5
whales in the	5
the straits of	5
in a calm	5
the captain of	5
moby dick had	5
of which the	5
it was his	5
said the old	5
so in the	5
is the most	5
with the rest	5
at the fore	5
of the seamen	5
of the more	5
of these whales	5
warp and woof	5
the sun and	5
the eye of	5
had thus far	5
but though the	5
away at the	5
no more of	5
leaning against the	5
was it not	5
one after the	5
it is in	5
of the day	5
on this head	5
on all sides	5
wife and child	5
in all the	5
was by no	5
hoisted on deck	5
it may have	5
down on the	5
now for the	5
heads of the	5
a man who	5
a kind of	5
i have it	5
the people of	5
him to his	5
have been the	5
much as a	5
to get into	5
and the sun	5
but there was	5
on his back	5
but this is	5
that is the	5
with a view	5
to the main	5
you see that	5
is the whale	5
two thirds of	5
the weight of	5
starbuck and stubb	5
in all his	5
in this book	5
run away with	5
but the whale	5
pequod meets the	5
all over with	5
if it be	5
the greenland or	5
centre of the	5
the other world	5
what whaling is	5
as to the	5
rolled away from	5
and let me	5
was the first	5
as has been	5
that i could	5
your doubloons of	5
voice was heard	5
what are you	5
on each side	5
furnished with a	5
the memory of	5
over the same	5
in quest of	5
for it was	5
afraid of him	5
heart of the	5
i was a	5
soon as he	5
employed in the	5
the pagan harpooneers	5
for all that	5
well as the	5
sight of land	5
said to have	5
hast seen the	5
to the sperm	5
you observe that	5
was going to	5
advance of the	5
the first of	5
of all his	5
of the mass	5
in this business	5
moby dick was	5
the parsee was	5
for a while	5
the world is	5
like so many	5
in obedience to	5
up in his	5
to see whether	5
is it that	5
hither and thither	5
the mouth of	5
by his own	5
side of his	5
will tell you	5
if i had	5
if it had	5
aspect of the	5
a piece of	5
nothing but the	5
only in the	5
such or such	5
to this day	5
how it was	5
it not for	5
of the creature	5
such a whale	5
the distance of	5
at the main	5
in old times	5
that the great	5
for all these	5
at all events	5
all hands to	5
is on the	5
from his mouth	5
the pequod meets	5
to go on	5
at the head	5
ought to be	5
from out the	5
in some sort	5
side to side	5
to sea as	5
and when he	5
with all his	5
that i was	5
he saw the	5
a white man	5
the cause of	5
give chase to	5
half of the	5
the honor of	5
were now in	5
the ship to	5
all four boats	5
to one side	5
that he should	5
and all of	5
as i have	5
for as the	5
you would almost	5
and all his	5
the cabin to	5
be able to	5
men in the	5
at one and	5
the stern of	5
out of that	5
what say ye	5
is still more	5
sea as a	5
the great whale	5
do you mean	5
on the water	5
the shape of	5
the best of	5
i have been	5
and as he	5
full of the	5
has been said	5
the dignity of	5
what seemed a	5
the mate was	5
to see what	5
it seemed the	5
a whale is	5
of the fire	5
ever and anon	5
but not so	5
and so the	5
with a long	5
but with a	5
in this way	5
voice from the	5
one hundred and	5
the tail of	5
or right whale	5
of a man	5
that at the	5
of the grand	5
he told me	5
i tell ye	5
to the very	5
was not the	5
perils of the	5
to me as	5
the stranger captain	5
vicinity of the	5
and ere long	5
compared with the	5
other and more	5
as the case	5
from side to	5
though it was	5
who can tell	5
of any sort	5
to the side	5
the body of	5
sperm whale fishery	5
by the three	5
it was in	5
a species of	5
to the great	5
the indian ocean	5
in those days	5
as the ship	5
sea and the	5
the case might	5
and the same	5
at the first	5
a fair wind	5
matter of the	5
of captain ahab	5
of the mate	5
the lower part	5
thus far been	5
so that they	5
vicissitudes of the	5
is called a	5
that all the	5
of the iron	5
the life of	5
it not so	5
as you may	5
did you ever	5
that they are	5
tell you what	5
of the way	5
he will not	5
whale is a	5
on the coast	5
of life and	5
that in this	5
he has no	5
that makes the	5
other side of	5
and what was	5
sort of thing	5
it seems to	5
of the globe	5
in some way	5
life of the	5
no wonder that	5
within a few	5
as though he	5
sing out for	5
a part of	5
to him who	5
in all its	5
not a single	5
of the oarsmen	5
spite of all	5
is of a	5
life and death	5
time of the	5
to all his	5
it into the	5
and the great	5
it almost seemed	5
tell him to	5
eye of the	5
many are the	5
with reference to	5
at last i	5
to me that	5
of the cabin	5
all of us	5
something in the	5
not a few	5
while in the	5
i was thinking	5
further into the	5
the minds of	5
would have seen	5
that in some	5
and for the	5
to the mast	5
like to know	5
but i am	5
he could not	5
where is the	5
and i was	5
occurred to me	5
it was so	5
the circumstance that	5
the whale as	5
the whale has	5
he was the	5
of the law	5
i dare say	5
the seven hundred	4
minds of the	4
sperm whale has	4
more than two	4
by the whale	4
and there they	4
the whales of	4
in the bow	4
story of the	4
the present instance	4
while the other	4
a lesson to	4
formed by the	4
like to see	4
on top of	4
out of all	4
never heard of	4
end to the	4
came to pass	4
i tried to	4
a white whale	4
member of the	4
is the one	4
devil of a	4
from one to	4
the perils of	4
the time the	4
the seas of	4
his oil is	4
perceived that the	4
the last one	4
to swim in	4
for not only	4
sperm whale and	4
whosoever of ye	4
at times by	4
are the most	4
a day or	4
foot upon the	4
in that particular	4
who thus far	4
so it is	4
in the old	4
of the try	4
matter with you	4
i knew not	4
over with a	4
so to speak	4
jaws of death	4
spout of the	4
rest of his	4
what are the	4
and the sea	4
and not till	4
in the side	4
well known to	4
the forecastle deck	4
against the bulwarks	4
as we have	4
i will tell	4
on to the	4
said the landlord	4
of a great	4
they are so	4
cried stubb to	4
hand on the	4
from the crown	4
a whale in	4
go down to	4
of the dead	4
and the two	4
right and left	4
in point of	4
of the equatorial	4
it came to	4
the fear of	4
it is of	4
gave me to	4
on all hands	4
all the known	4
and from that	4
so full of	4
when the whale	4
like a whale	4
look at this	4
the other hand	4
it so chanced	4
not one jot	4
a stove boat	4
which was the	4
so that in	4
look at it	4
and every one	4
turned out that	4
it were a	4
day or two	4
will be seen	4
a brave man	4
this part of	4
would have almost	4
they seemed to	4
one in the	4
and one of	4
forward to the	4
man in the	4
that upon the	4
the lower end	4
must needs be	4
in the rear	4
the south seas	4
on land and	4
in a gale	4
belonging to the	4
this business of	4
in any way	4
there in that	4
for all this	4
though but a	4
cried the captain	4
over into the	4
roll of the	4
could not have	4
of his leg	4
creature in the	4
to the blast	4
in that way	4
to the end	4
the pacific ocean	4
hundred and fifty	4
regarded as the	4
this way and	4
been known to	4
but all the	4
log and line	4
could not possibly	4
is called the	4
one knows that	4
or such a	4
reference to the	4
that we were	4
for captain ahab	4
me to understand	4
look ye here	4
but i do	4
for a considerable	4
i cannot tell	4
part of a	4
the proper time	4
that at last	4
by the same	4
two in a	4
on the forecastle	4
the more i	4
body of a	4
of the works	4
for in his	4
my little man	4
so be it	4
taken from the	4
whales had been	4
come on board	4
for his own	4
the things that	4
of all four	4
to the floor	4
i felt a	4
luck to ye	4
i want to	4
of the various	4
away from it	4
on the top	4
what to make	4
in any one	4
that when he	4
the king of	4
i was going	4
the deck to	4
in great part	4
down before the	4
started to his	4
when it is	4
something of the	4
the three men	4
isles of the	4
at a distance	4
he might have	4
nor in the	4
it was of	4
and to the	4
in some cases	4
entire length of	4
of all those	4
some of these	4
nature of the	4
and tell me	4
of the gods	4
skeleton of the	4
lower part of	4
not to say	4
the ship in	4
that spite of	4
and if the	4
to the ground	4
have almost thought	4
high and mighty	4
placed in the	4
and it is	4
can it be	4
from under the	4
for in the	4
see the world	4
that may be	4
to the present	4
up out of	4
and as if	4
there she breaches	4
air of the	4
the surface of	4
by the sperm	4
they could not	4
without at all	4
the sort of	4
out in a	4
but as he	4
the ship would	4
on us all	4
you must know	4
to the pequod	4
came to a	4
of the true	4
a native of	4
with both hands	4
the watery world	4
all eagerness to	4
but never mind	4
the old manxman	4
may possibly be	4
for that one	4
began to grow	4
in his face	4
it to him	4
get into the	4
was of a	4
something less than	4
have ye seen	4
and the captain	4
one third of	4
way and that	4
in the full	4
god bless ye	4
forth in the	4
him in a	4
to be at	4
that the ship	4
a matter of	4
to the mate	4
such an one	4
in a bed	4
many of them	4
in the south	4
of a thousand	4
away at his	4
was not yet	4
many of its	4
of the english	4
in at the	4
you would think	4
there are no	4
though in the	4
and hoisted on	4
i had not	4
in his pivot	4
i have to	4
and as in	4
think of the	4
soul in him	4
to the stranger	4
at the whale	4
of their own	4
do you want	4
from the same	4
for a sea	4
to see the	4
at last came	4
in the bottom	4
thou clear spirit	4
such is the	4
mercy on us	4
i came to	4
the side of	4
but at length	4
line of the	4
have i seen	4
captain of the	4
how could i	4
and all hands	4
and in his	4
rising to the	4
sound of the	4
of sperm whales	4
the summit of	4
of the eternal	4
i found a	4
all four oceans	4
on the part	4
the size of	4
in the teeth	4
the history of	4
some of his	4
beneath the boat	4
place of the	4
whales of the	4
be all right	4
at length the	4
case might be	4
of his entire	4
the last chapter	4
a score of	4
out for the	4
it with a	4
i thought so	4
on such a	4
there by the	4
was full of	4
then it was	4
the lower jaw	4
these were the	4
on that side	4
which is the	4
of the herd	4
the sea for	4
white whale was	4
that i think	4
he called it	4
at the windlass	4
it was now	4
of the upper	4
the second iron	4
the hands of	4
nor is this	4
the age of	4
in some small	4
ahab was now	4
out of nantucket	4
that though the	4
hard to say	4
the whale had	4
of the whaling	4
it is well	4
out to be	4
cut by the	4
in reference to	4
distance from the	4
if you are	4
upon my soul	4
why did the	4
bones of the	4
made in the	4
you must be	4
was made to	4
something like a	4
the entire length	4
all this was	4
in the boat	4
should be so	4
sleep two in	4
position of the	4
of the lower	4
it might have	4
so much to	4
making a passage	4
to make of	4
kings and queens	4
so that for	4
at a time	4
this as it	4
the sea is	4
have seen him	4
in all things	4
all hands were	4
which it was	4
for moby dick	4
the height of	4
in their hands	4
there is nothing	4
the loss of	4
over towards the	4
that it seemed	4
in a few	4
of his life	4
instead of the	4
to a great	4
the isles of	4
summit of the	4
in a sort	4
again and again	4
while all the	4
that out of	4
told me that	4
in my life	4
knowledge of the	4
stood in the	4
to attend to	4
from the circumstance	4
on the point	4
many of the	4
king of the	4
of these things	4
the case with	4
of some of	4
but all these	4
that i ever	4
i think it	4
whale had been	4
his crew to	4
that while the	4
all this as	4
you expect to	4
in pursuit of	4
by and by	4
and more than	4
you will find	4
the next day	4
when at last	4
as they are	4
lord and master	4
given to the	4
as if they	4
in that manner	4
of the mediterranean	4
at such times	4
at last he	4
it must have	4
this is not	4
was only a	4
some one of	4
i must have	4
straight for the	4
the ship itself	4
with the pequod	4
it is often	4
before the mast	4
with a sort	4
any one of	4
yet it is	4
seldom or never	4
followed by the	4
of the general	4
something like the	4
was not so	4
be all this	4
man who had	4
as when the	4
and with one	4
may well be	4
but there are	4
would take the	4
of the spare	4
what is that	4
so that this	4
of his mouth	4
did not go	4
had to do	4
from the bottom	4
cry was heard	4
with his hands	4
to the soul	4
he had made	4
inserted into the	4
of this earth	4
of all men	4
for him to	4
to him as	4
said don sebastian	4
that there was	4
to pick up	4
the last day	4
could not help	4
between the whale	4
i thought he	4
at the other	4
to be true	4
i to myself	4
with his ivory	4
so with the	4
on and on	4
in which to	4
more than that	4
it for an	4
is one of	4
for many years	4
in some of	4
a couple of	4
by the best	4
a few inches	4
the sign of	4
to do so	4
it is but	4
from the main	4
himself to the	4
base of the	4
so it was	4
one of our	4
be sure to	4
which the right	4
but a loose	4
on the larboard	4
it seemed to	4
he at last	4
as to bring	4
he were a	4
so that to	4
the number of	4
less than a	4
for the great	4
upon which the	4
of the town	4
sperm whale in	4
might as well	4
is well known	4
who had just	4
he was to	4
they tell me	4
it was thus	4
other parts of	4
the first thing	4
not only was	4
in a most	4
it has not	4
that there were	4
as if from	4
story of jonah	4
his ship was	4
to show the	4
you will be	4
it at the	4
cried a voice	4
round cape horn	4
man at the	4
at the next	4
it would seem	4
by its own	4
that mortal man	4
into his cabin	4
in a whale	4
such a sight	4
all their eyes	4
me with a	4
armed with their	4
the hearts of	4
one with the	4
said it was	4
him from the	4
old manx sailor	4
looked like a	4
seams and dents	4
in the head	4
had not the	4
at his side	4
descend into the	4
in the remotest	4
the line is	4
will yield you	4
of his ivory	4
so saying he	4
for the other	4
at any time	4
the door of	4
out of them	4
with all this	4
and then it	4
to the white	4
and the white	4
standing in his	4
you will see	4
into the hold	4
one by one	4
on the starboard	4
inch in thickness	4
as a passenger	4
out of this	4
the part of	4
there is more	4
of the outer	4
a saturday night	4
i saw that	4
people of the	4
to return to	4
the word of	4
it may possibly	4
the samuel enderby	4
as the three	4
not fail to	4
island of nantucket	4
of the man	4
four boats were	4
which he was	4
of what a	4
lower jaw of	4
and make a	4
one way or	4
if he did	4
pequod had been	4
that he has	4
and the right	4
down from the	4
harpoons and lances	4
the captain and	4
apart from the	3
nearly all the	3
of it is	3
away from him	3
on his head	3
ships on the	3
out in his	3
days and nights	3
to be used	3
those who have	3
it was high	3
in much the	3
ivory leg had	3
the darkness of	3
not for the	3
what might be	3
captain ahab is	3
the bashee isles	3
the smallest of	3
from the window	3
that ever since	3
as for me	3
was a very	3
may be deemed	3
live in the	3
of the warp	3
of the whalemen	3
for a certain	3
or two of	3
for one of	3
so much so	3
who for the	3
any one else	3
what may be	3
he had never	3
was thinking of	3
of the company	3
it was moby	3
reason of this	3
lowered for him	3
yet to be	3
issued from the	3
is out of	3
the sea which	3
all over like	3
may be said	3
almost seemed as	3
as we thus	3
a blow from	3
such a man	3
but not to	3
seemed as if	3
you come to	3
the black fish	3
the boat up	3
whiteness of the	3
with the thought	3
for forty years	3
like an old	3
a little behind	3
lighted his tomahawk	3
be sure the	3
the command of	3
each other as	3
the whole length	3
he is never	3
the spot where	3
of his face	3
from his hammock	3
but as for	3
pilot of the	3
harpoon from the	3
would fain have	3
in vain the	3
peleg and bildad	3
he turned to	3
of the black	3
hour of the	3
me as a	3
high time to	3
of the full	3
it is so	3
sulk and pout	3
the sides of	3
to see a	3
day of the	3
the boat is	3
and break out	3
be called the	3
in the wake	3
of the quarter	3
darkness came on	3
to the uttermost	3
officer of the	3
way or other	3
all the waves	3
of his soul	3
that i may	3
you will not	3
i wish to	3
tun of the	3
whales were seen	3
of the body	3
the burden of	3
and that done	3
that i had	3
from before the	3
very heart of	3
of the moment	3
sailed out of	3
hand as with	3
the great south	3
and returned to	3
though at the	3
off cape horn	3
and the boat	3
or two other	3
find it in	3
that on the	3
among the boats	3
in the desert	3
of his hand	3
at his own	3
sprang to the	3
of old times	3
within the last	3
is furnished with	3
more of a	3
it is quite	3
if they were	3
to my taste	3
all these are	3
the white steed	3
to the distance	3
of him that	3
the strange captain	3
would be a	3
together in one	3
respect to the	3
in my heart	3
down into his	3
the bulwarks to	3
used by the	3
was not a	3
the ship and	3
business is that	3
in almost every	3
from the forecastle	3
captain in the	3
it as the	3
in the greenland	3
of those inferior	3
and at intervals	3
resistance of the	3
is not very	3
the milky way	3
ready to turn	3
and spite of	3
the best and	3
deeper and deeper	3
what are called	3
creatures of the	3
all these were	3
by the enormous	3
into the room	3
it did not	3
large sperm whale	3
but all in	3
all the more	3
while employed in	3
on a level	3
under the stern	3
circle of the	3
and as such	3
and all its	3
on the floor	3
even to the	3
with a prodigious	3
to that one	3
that while in	3
that is in	3
whale in his	3
of some sort	3
for the life	3
seem to have	3
i have a	3
will not do	3
world like a	3
i was in	3
so nigh to	3
based upon the	3
and what do	3
of the word	3
it is this	3
in some one	3
and considering that	3
away with the	3
the spout is	3
up in that	3
death and the	3
of the monster	3
as if a	3
a thing as	3
the corpusants have	3
do not think	3
lost in the	3
himself in the	3
to the memory	3
i never heard	3
it will not	3
the towing whale	3
in a moment	3
not have been	3
character of the	3
that at times	3
the whale are	3
be seen in	3
certain it is	3
will be found	3
and with such	3
but i had	3
of ye raises	3
the capture of	3
to pass the	3
a problem to	3
is lord over	3
how can you	3
made by the	3
that he can	3
in all this	3
them by the	3
at that time	3
sperm whale only	3
of the tackle	3
greenland whale of	3
for the sake	3
out from under	3
far had been	3
hum of the	3
the man that	3
and say to	3
i like to	3
no other way	3
of his forehead	3
an inch in	3
upon his back	3
to be in	3
upon the ship	3
i concluded that	3
his hands in	3
and not the	3
him with a	3
and looking up	3
or in the	3
suppose that that	3
was on the	3
than to have	3
was only by	3
as to get	3
part of their	3
of a less	3
whale is an	3
a string of	3
to them in	3
consider that the	3
them at the	3
ahead of the	3
in the fish	3
in those waters	3
intensity of his	3
to his men	3
and a still	3
he placed the	3
between him and	3
with a sudden	3
he would fain	3
we have a	3
the idea of	3
for a few	3
out for a	3
floating on the	3
soon as possible	3
it was he	3
at the foot	3
to have the	3
go for it	3
when they were	3
the devil fetch	3
such was the	3
tell ye what	3
as good a	3
i am about	3
on either side	3
latitude and longitude	3
let us fly	3
the whale with	3
at least as	3
see whether the	3
stop dat dam	3
the sun is	3
the marchant service	3
it was like	3
and then you	3
not the same	3
level of the	3
even as a	3
through and through	3
at one time	3
him at all	3
engaged in the	3
of the waters	3
of your head	3
which i had	3
is about the	3
might have known	3
got the start	3
would not willingly	3
that of yours	3
it was an	3
the old dutch	3
the weather bow	3
much to be	3
leaves of the	3
out of their	3
under these circumstances	3
the second day	3
from a boat	3
in accordance with	3
by the fishermen	3
feet above the	3
and indian oceans	3
from the lower	3
waters of the	3
hundred and twenty	3
by the sea	3
the last man	3
to his nose	3
whale is not	3
not to have	3
two and two	3
why it was	3
the blade of	3
agony of the	3
the place where	3
fixed in the	3
manner in which	3
full of a	3
with his back	3
i saw the	3
in the clear	3
that had been	3
is perhaps the	3
thousand miles to	3
when all the	3
at this matter	3
the whale would	3
there was something	3
this must be	3
shall ere long	3
mates and harpooneers	3
when i came	3
in some instances	3
now to be	3
with a small	3
and into the	3
and still more	3
so much of	3
you tell me	3
of his eyes	3
this young man	3
any more than	3
are not so	3
observe that the	3
much as to	3
has no proper	3
not by any	3
let me see	3
round by the	3
as to say	3
in some degree	3
not more than	3
sperm whale was	3
to the man	3
is much like	3
i asked him	3
to that sort	3
a parcel of	3
board of the	3
had so long	3
the poor little	3
therefore it was	3
what in the	3
with the line	3
much like an	3
that moment he	3
at this juncture	3
he and his	3
